
Perirhinal Layer, 24-D input stimuli
Experiment:, list18, 
Stim Condition:, 2, 
 Stimulus Set 1:
Sample 1, [ 0.950 0.950, 0.050 0.667, 0.050 0.950, 0.667 0.333 ],Novel 1, [ 0.950 0.667, 0.667 0.950, 0.333 0.333, 0.050 0.333 ] Sample 2, [ 0.950 0.333, 0.667 0.050, 0.333 0.050, 0.333 0.667 ],Novel 2, [ 0.050 0.333, 0.050 0.050, 0.333 0.950, 0.950 0.050 ] Sample 3, [ 0.333 0.050, 0.333 0.950, 0.667 0.333, 0.050 0.050 ],Novel 3, [ 0.950 0.050, 0.333 0.333, 0.667 0.950, 0.667 0.050 ] Sample 4, [ 0.667 0.667, 0.950 0.333, 0.333 0.950, 0.667 0.050 ],Novel 4, [ 0.950 0.050, 0.333 0.333, 0.667 0.333, 0.050 0.950 ] Sample 5, [ 0.950 0.050, 0.333 0.667, 0.050 0.667, 0.950 0.950 ],Novel 5, [ 0.050 0.050, 0.667 0.050, 0.333 0.050, 0.950 0.667 ] Sample 6, [ 0.667 0.333, 0.667 0.950, 0.950 0.333, 0.050 0.333 ],Novel 6, [ 0.667 0.667, 0.333 0.950, 0.050 0.667, 0.950 0.667 ] Sample 7, [ 0.050 0.667, 0.950 0.667, 0.050 0.333, 0.950 0.950 ],Novel 7, [ 0.667 0.050, 0.333 0.333, 0.050 0.050, 0.667 0.950 ] Sample 8, [ 0.333 0.333, 0.333 0.667, 0.950 0.667, 0.050 0.950 ],Novel 8, [ 0.050 0.667, 0.050 0.050, 0.667 0.950, 0.667 0.050 ] Sample 9, [ 0.667 0.333, 0.667 0.050, 0.950 0.667, 0.333 0.333 ],Novel 9, [ 0.333 0.050, 0.950 0.050, 0.667 0.950, 0.333 0.950 ] Sample 10, [ 0.950 0.667, 0.950 0.050, 0.950 0.333, 0.050 0.667 ],Novel 10, [ 0.950 0.950, 0.667 0.333, 0.050 0.050, 0.333 0.050 ] Sample 11, [ 0.050 0.667, 0.667 0.667, 0.667 0.950, 0.050 0.050 ],Novel 11, [ 0.667 0.333, 0.950 0.950, 0.050 0.950, 0.333 0.333 ] Sample 12, [ 0.667 0.333, 0.333 0.667, 0.050 0.667, 0.333 0.950 ],Novel 12, [ 0.950 0.950, 0.333 0.050, 0.667 0.050, 0.050 0.050 ] Sample 13, [ 0.950 0.950, 0.950 0.333, 0.333 0.667, 0.333 0.950 ],Novel 13, [ 0.050 0.333, 0.050 0.050, 0.667 0.050, 0.050 0.950 ] Sample 14, [ 0.050 0.950, 0.050 0.667, 0.050 0.050, 0.950 0.050 ],Novel 14, [ 0.333 0.667, 0.950 0.333, 0.050 0.333, 0.950 0.950 ] Sample 15, [ 0.667 0.333, 0.050 0.950, 0.950 0.050, 0.667 0.667 ],Novel 15, [ 0.333 0.050, 0.050 0.667, 0.050 0.333, 0.050 0.050 ] Sample 16, [ 0.050 0.050, 0.333 0.333, 0.950 0.050, 0.950 0.333 ],Novel 16, [ 0.667 0.050, 0.333 0.950, 0.050 0.333, 0.333 0.667 ] Sample 17, [ 0.333 0.333, 0.667 0.050, 0.050 0.050, 0.667 0.333 ],Novel 17, [ 0.950 0.950, 0.050 0.667, 0.950 0.333, 0.667 0.667 ] Sample 18, [ 0.050 0.950, 0.667 0.333, 0.333 0.950, 0.950 0.667 ],Novel 18, [ 0.950 0.333, 0.050 0.333, 0.950 0.950, 0.050 0.050 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 1, 1, Sample, 82.893063, 68719.177256, 0.001206, 0.678876, [48 135]
 1, 1, Novel, 18.387808, 79695.820573, 0.000231,, [105 181]
 1, 2, Sample, 82.893063, 79736.784244, 0.001040, 0.629779, [48 121]
 1, 2, Novel, 15.125506, 64049.800987, 0.000236,, [180 26]
 1, 3, Sample, 82.893063, 73948.320766, 0.001121, 0.632333, [24 34]
 1, 3, Novel, 18.611129, 73711.739938, 0.000252,, [155 30]
 1, 4, Sample, 82.893063, 79812.031198, 0.001039, 0.623684, [21 154]
 1, 4, Novel, 17.738176, 73689.829953, 0.000241,, [147 90]
 1, 5, Sample, 50.631366, 68531.883110, 0.000739, 0.483951, [111 131]
 1, 5, Novel, 17.616756, 68568.967737, 0.000257,, [170 135]
 1, 6, Sample, 82.893063, 79826.047110, 0.001038, 0.566613, [104 30]
 1, 6, Novel, 22.870311, 79613.173620, 0.000287,, [49 132]
 1, 7, Sample, 82.893063, 68683.350111, 0.001207, 0.676226, [17 193]
 1, 7, Novel, 17.173171, 73667.248235, 0.000233,, [46 198]
 1, 8, Sample, 82.893063, 79726.169687, 0.001040, 0.613603, [70 140]
 1, 8, Novel, 17.091032, 68645.858203, 0.000249,, [149 65]
 1, 9, Sample, 43.110103, 86607.800112, 0.000498, 0.355014, [119 84]
 1, 9, Novel, 16.233837, 68516.082238, 0.000237,, [43 51]
 1, 10, Sample, 82.893063, 68747.675451, 0.001206, 0.664627, [117 87]
 1, 10, Novel, 16.684551, 68682.050533, 0.000243,, [92 189]
 1, 11, Sample, 82.893063, 73983.777364, 0.001120, 0.640675, [43 11]
 1, 11, Novel, 18.097584, 73752.123231, 0.000245,, [89 146]
 1, 12, Sample, 82.893063, 86586.013997, 0.000957, 0.595814, [108 134]
 1, 12, Novel, 15.546747, 64116.570109, 0.000242,, [51 55]
 1, 13, Sample, 82.893063, 73854.960512, 0.001122, 0.627686, [135 5]
 1, 13, Novel, 16.434091, 64013.037117, 0.000257,, [51 1]
 1, 14, Sample, 82.893063, 60123.783821, 0.001379, 0.571783, [72 60]
 1, 14, Novel, 27.694851, 73731.881968, 0.000376,, [17 190]
 1, 15, Sample, 82.893063, 73823.129305, 0.001123, 0.596149, [177 11]
 1, 15, Novel, 19.507582, 68664.237017, 0.000284,, [24 30]
 1, 16, Sample, 82.893063, 68708.989862, 0.001206, 0.579691, [22 167]
 1, 16, Novel, 25.552982, 79605.072361, 0.000321,, [111 134]
 1, 17, Sample, 82.893063, 79794.314121, 0.001039, 0.630809, [22 134]
 1, 17, Novel, 17.334699, 73709.302972, 0.000235,, [176 140]
 1, 18, Sample, 82.893063, 73873.977587, 0.001122, 0.637177, [61 61]
 1, 18, Novel, 15.929261, 64057.542338, 0.000249,, [145 4]
 2, 1, Sample, 82.893063, 68830.228138, 0.001204, 0.655370, [41 193]
 2, 1, Novel, 19.970327, 79650.314200, 0.000251,, [97 25]
 2, 2, Sample, 82.495835, 79832.439202, 0.001033, 0.613394, [188 26]
 2, 2, Novel, 15.867165, 64079.321587, 0.000248,, [146 186]
 2, 3, Sample, 46.630661, 73776.460190, 0.000632, 0.474581, [143 118]
 2, 3, Novel, 16.642154, 73895.608950, 0.000225,, [118 168]
 2, 4, Sample, 82.893063, 79787.683402, 0.001039, 0.617166, [97 32]
 2, 4, Novel, 18.167948, 73869.841789, 0.000246,, [142 197]
 2, 5, Sample, 57.760068, 68755.366615, 0.000840, 0.440868, [95 180]
 2, 5, Novel, 22.355407, 68575.834874, 0.000326,, [45 52]
 2, 6, Sample, 82.893063, 79771.887385, 0.001039, 0.622809, [146 120]
 2, 6, Novel, 19.254637, 79720.951597, 0.000242,, [55 98]
 2, 7, Sample, 82.893063, 68620.912856, 0.001208, 0.680156, [157 29]
 2, 7, Novel, 16.973117, 73809.284943, 0.000230,, [27 47]
 2, 8, Sample, 82.893063, 79768.774506, 0.001039, 0.592245, [111 42]
 2, 8, Novel, 18.265353, 68636.126801, 0.000266,, [96 186]
 2, 9, Sample, 82.893063, 86771.466935, 0.000955, 0.538812, [181 25]
 2, 9, Novel, 19.638124, 68590.849919, 0.000286,, [11 150]
 2, 10, Sample, 82.893063, 68762.343545, 0.001206, 0.659594, [107 72]
 2, 10, Novel, 16.965849, 68614.034070, 0.000247,, [47 52]
 2, 11, Sample, 82.893063, 73806.111074, 0.001123, 0.653727, [62 157]
 2, 11, Novel, 17.339862, 73733.412498, 0.000235,, [181 124]
 2, 12, Sample, 82.893063, 86756.704528, 0.000955, 0.612786, [99 178]
 2, 12, Novel, 14.699691, 64079.478700, 0.000229,, [104 113]
 2, 13, Sample, 82.893063, 73879.482470, 0.001122, 0.663365, [46 184]
 2, 13, Novel, 14.536147, 64015.140592, 0.000227,, [117 23]
 2, 14, Sample, 82.893063, 60028.980489, 0.001381, 0.536841, [46 12]
 2, 14, Novel, 30.679218, 73720.176803, 0.000416,, [159 28]
 2, 15, Sample, 82.893063, 73900.431549, 0.001122, 0.608556, [4 174]
 2, 15, Novel, 18.728424, 68611.343989, 0.000273,, [144 115]
 2, 16, Sample, 82.893063, 68700.320719, 0.001207, 0.583749, [2 73]
 2, 16, Novel, 25.271796, 79690.736118, 0.000317,, [102 178]
 2, 17, Sample, 82.893063, 79744.221509, 0.001039, 0.614015, [42 52]
 2, 17, Novel, 18.347482, 73806.541105, 0.000249,, [59 106]
 2, 18, Sample, 82.893063, 73827.113471, 0.001123, 0.643251, [115 82]
 2, 18, Novel, 15.642281, 64170.931755, 0.000244,, [62 140]
 3, 1, Sample, 82.893063, 68703.576160, 0.001207, 0.677475, [115 51]
 3, 1, Novel, 18.480267, 79664.072318, 0.000232,, [112 105]
 3, 2, Sample, 71.437043, 79728.286287, 0.000896, 0.589299, [138 42]
 3, 2, Novel, 14.817718, 63995.550426, 0.000232,, [192 9]
 3, 3, Sample, 45.930094, 73762.999804, 0.000623, 0.372137, [186 153]
 3, 3, Novel, 21.027629, 73801.309686, 0.000285,, [76 84]
 3, 4, Sample, 82.893063, 79915.048351, 0.001037, 0.523408, [68 136]
 3, 4, Novel, 23.908502, 73676.991598, 0.000325,, [138 39]
 3, 5, Sample, 82.893063, 68749.984469, 0.001206, 0.548257, [173 111]
 3, 5, Novel, 24.138950, 68615.865274, 0.000352,, [170 101]
 3, 6, Sample, 82.893063, 79793.308515, 0.001039, 0.579773, [189 151]
 3, 6, Novel, 22.022249, 79693.113556, 0.000276,, [113 49]
 3, 7, Sample, 55.241714, 68694.082821, 0.000804, 0.406094, [127 125]
 3, 7, Novel, 25.040905, 73722.265205, 0.000340,, [138 39]
 3, 8, Sample, 82.893063, 79617.046069, 0.001041, 0.631800, [122 14]
 3, 8, Novel, 16.095863, 68514.924409, 0.000235,, [60 21]
 3, 9, Sample, 82.893063, 86695.227534, 0.000956, 0.592323, [72 113]
 3, 9, Novel, 16.788589, 68581.453005, 0.000245,, [88 85]
 3, 10, Sample, 82.893063, 68739.166076, 0.001206, 0.668812, [72 164]
 3, 10, Novel, 16.424580, 68629.977643, 0.000239,, [103 111]
 3, 11, Sample, 82.893063, 73840.478974, 0.001123, 0.643951, [22 158]
 3, 11, Novel, 17.952785, 73839.292001, 0.000243,, [44 183]
 3, 12, Sample, 82.893063, 86588.659191, 0.000957, 0.597595, [135 38]
 3, 12, Novel, 15.428363, 63983.106130, 0.000241,, [192 162]
 3, 13, Sample, 82.893063, 73892.122370, 0.001122, 0.653448, [18 148]
 3, 13, Novel, 15.013367, 63852.881634, 0.000235,, [155 81]
 3, 14, Sample, 82.893063, 60035.501218, 0.001381, 0.540459, [43 21]
 3, 14, Novel, 30.404164, 73815.707477, 0.000412,, [125 126]
 3, 15, Sample, 82.893063, 73810.285140, 0.001123, 0.559025, [2 107]
 3, 15, Novel, 21.766434, 68521.124262, 0.000318,, [187 155]
 3, 16, Sample, 82.893063, 68707.122929, 0.001206, 0.577377, [161 129]
 3, 16, Novel, 25.738169, 79623.981848, 0.000323,, [132 38]
 3, 17, Sample, 82.893063, 79780.865947, 0.001039, 0.618010, [169 103]
 3, 17, Novel, 18.069725, 73664.967825, 0.000245,, [83 94]
 3, 18, Sample, 82.893063, 73861.351673, 0.001122, 0.638250, [126 131]
 3, 18, Novel, 15.857564, 63989.348800, 0.000248,, [66 87]
