
Group Intact
Experiment:, list1, 

Stim Condition:, 1, 
 Stim Pair 1:,Sample: , [ 0.667 0.333, 0.050 0.667, 0.333 0.950, 0.333 0.667 ],Novel: , [ 0.667 0.950, 0.333 0.050, 0.050 0.950, 0.050 0.333 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 81.031933, 77.573428, 77.796513, 79.895799, 79.074418, 109771.129804, 77432.472960, 77572.193413, 112239.571107, 94253.841821, 0.000864, 0.538689, [43 91], [78 110], [107 184], [2 191]
 1, Novel, 19.301493, 20.742734, 16.460421, 18.116912, 18.655390, 76454.318266, 77016.316313, 58782.283328, 77440.123824, 72423.260433, 0.000259, , [48 4], [56 107], [187 106], [149 104]

Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Win Co-ords
 1, Sample, 77.937511, 86729.859560, 0.000899, 0.570426, [85 67]
 1, Novel, 16.875008, 68650.784205, 0.000246,, [58 79]
