
Perirhinal Layer, 24-D input stimuli
Experiment:, list18, 
Stim Condition:, 4, 
 Stimulus Set 1:
Sample 1, [ 0.950 0.050, 0.050 0.333, 0.950 0.950, 0.050 0.667 ],Novel 1, [ 0.950 0.667, 0.050 0.950, 0.050 0.050, 0.333 0.050 ] Sample 2, [ 0.667 0.667, 0.333 0.050, 0.050 0.333, 0.333 0.950 ],Novel 2, [ 0.333 0.333, 0.950 0.667, 0.667 0.050, 0.667 0.950 ] Sample 3, [ 0.333 0.667, 0.950 0.950, 0.950 0.667, 0.667 0.333 ],Novel 3, [ 0.950 0.333, 0.667 0.950, 0.050 0.950, 0.050 0.333 ] Sample 4, [ 0.950 0.950, 0.050 0.050, 0.333 0.667, 0.950 0.667 ],Novel 4, [ 0.667 0.667, 0.667 0.050, 0.333 0.050, 0.050 0.667 ] Sample 5, [ 0.333 0.333, 0.667 0.333, 0.667 0.667, 0.050 0.667 ],Novel 5, [ 0.050 0.950, 0.333 0.050, 0.950 0.333, 0.667 0.950 ] Sample 6, [ 0.333 0.667, 0.667 0.333, 0.333 0.050, 0.333 0.950 ],Novel 6, [ 0.950 0.667, 0.950 0.950, 0.950 0.050, 0.050 0.333 ] Sample 7, [ 0.050 0.950, 0.667 0.333, 0.050 0.333, 0.050 0.050 ],Novel 7, [ 0.050 0.667, 0.333 0.333, 0.950 0.950, 0.950 0.050 ] Sample 8, [ 0.667 0.050, 0.050 0.667, 0.950 0.333, 0.333 0.050 ],Novel 8, [ 0.333 0.667, 0.950 0.950, 0.667 0.667, 0.050 0.333 ] Sample 9, [ 0.950 0.333, 0.950 0.050, 0.050 0.050, 0.333 0.950 ],Novel 9, [ 0.667 0.050, 0.667 0.667, 0.333 0.050, 0.050 0.950 ] Sample 10, [ 0.050 0.333, 0.050 0.950, 0.667 0.667, 0.333 0.333 ],Novel 10, [ 0.950 0.333, 0.667 0.950, 0.050 0.050, 0.950 0.050 ] Sample 11, [ 0.667 0.667, 0.667 0.050, 0.667 0.950, 0.950 0.050 ],Novel 11, [ 0.050 0.050, 0.333 0.050, 0.950 0.667, 0.950 0.333 ] Sample 12, [ 0.333 0.667, 0.333 0.333, 0.667 0.950, 0.333 0.950 ],Novel 12, [ 0.050 0.667, 0.050 0.333, 0.333 0.050, 0.950 0.667 ] Sample 13, [ 0.050 0.333, 0.950 0.050, 0.050 0.050, 0.950 0.667 ],Novel 13, [ 0.050 0.950, 0.667 0.667, 0.667 0.050, 0.333 0.333 ] Sample 14, [ 0.050 0.050, 0.950 0.333, 0.333 0.950, 0.950 0.050 ],Novel 14, [ 0.667 0.333, 0.667 0.050, 0.667 0.950, 0.667 0.667 ] Sample 15, [ 0.333 0.950, 0.667 0.333, 0.667 0.050, 0.950 0.950 ],Novel 15, [ 0.950 0.667, 0.050 0.333, 0.050 0.950, 0.050 0.050 ] Sample 16, [ 0.667 0.050, 0.950 0.333, 0.667 0.667, 0.333 0.950 ],Novel 16, [ 0.667 0.950, 0.667 0.333, 0.950 0.950, 0.950 0.667 ] Sample 17, [ 0.333 0.333, 0.050 0.667, 0.950 0.050, 0.050 0.050 ],Novel 17, [ 0.333 0.950, 0.667 0.667, 0.667 0.333, 0.950 0.333 ] Sample 18, [ 0.333 0.950, 0.333 0.050, 0.667 0.333, 0.333 0.667 ],Novel 18, [ 0.050 0.333, 0.050 0.950, 0.050 0.050, 0.333 0.333 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 2, 5, Novel, 28.921796, 68668.407240, 0.000421,, [11 52]
 2, 6, Sample, 82.893063, 86665.777716, 0.000956, 0.597077, [144 62]
 2, 6, Novel, 15.430330, 63945.373556, 0.000241,, [91 8]
 2, 7, Sample, 82.893063, 68668.835313, 0.001207, 0.605908, [173 11]
 2, 7, Novel, 20.337083, 68652.105515, 0.000296,, [132 61]
 2, 8, Sample, 48.602960, 73886.926309, 0.000658, 0.463147, [49 27]
 2, 8, Novel, 19.195315, 79530.215296, 0.000241,, [33 11]
 2, 9, Sample, 82.893063, 64210.535837, 0.001291, 0.680458, [78 111]
 2, 9, Novel, 18.099339, 73731.145362, 0.000245,, [124 104]
 2, 10, Sample, 82.893063, 79763.672007, 0.001039, 0.636717, [121 186]
 2, 10, Novel, 14.748455, 63938.423897, 0.000231,, [171 110]
 2, 11, Sample, 82.893063, 73944.818541, 0.001121, 0.664082, [135 60]
 2, 11, Novel, 15.542820, 68684.760619, 0.000226,, [95 40]
 2, 12, Sample, 82.893063, 86793.629162, 0.000955, 0.592386, [22 39]
 2, 12, Novel, 18.031243, 73755.421407, 0.000244,, [16 34]
 2, 13, Sample, 82.893063, 64135.091849, 0.001292, 0.684823, [42 52]
 2, 13, Novel, 19.232437, 79544.632585, 0.000242,, [51 195]
 2, 14, Sample, 82.893063, 64137.909511, 0.001292, 0.674508, [63 46]
 2, 14, Novel, 21.787866, 86727.931793, 0.000251,, [36 119]
 2, 15, Sample, 49.299907, 73760.508182, 0.000668, 0.481348, [11 54]
 2, 15, Novel, 15.005976, 64124.355721, 0.000234,, [24 184]
 2, 16, Sample, 82.893063, 79813.849421, 0.001039, 0.553512, [85 118]
 2, 16, Novel, 22.028085, 73797.519047, 0.000298,, [134 63]
 2, 17, Sample, 82.893063, 68766.451954, 0.001205, 0.676596, [52 29]
 2, 17, Novel, 20.102896, 86457.102259, 0.000233,, [46 14]
 2, 18, Sample, 82.893063, 86768.408097, 0.000955, 0.603806, [13 50]
 2, 18, Novel, 16.172700, 68528.390715, 0.000236,, [43 116]
 3, 1, Sample, 82.893063, 64115.508027, 0.001293, 0.675268, [44 80]
 3, 1, Novel, 16.018170, 63917.198625, 0.000251,, [24 95]
 3, 2, Sample, 82.893063, 79758.528427, 0.001039, 0.631673, [176 72]
 3, 2, Novel, 18.696264, 79691.744407, 0.000235,, [83 187]
 3, 3, Sample, 82.893063, 79801.701685, 0.001039, 0.631982, [73 150]
 3, 3, Novel, 16.055122, 68541.643902, 0.000234,, [95 170]
 3, 4, Sample, 82.893063, 68704.463309, 0.001207, 0.588422, [171 120]
 3, 4, Novel, 24.914491, 79695.335997, 0.000313,, [136 39]
 3, 5, Sample, 82.893063, 94999.381447, 0.000873, 0.407398, [144 163]
 3, 5, Novel, 25.208364, 68612.083604, 0.000367,, [115 112]
 3, 6, Sample, 82.893063, 86685.276606, 0.000956, 0.584824, [150 70]
 3, 6, Novel, 16.033507, 64003.626746, 0.000251,, [55 191]
 3, 7, Sample, 82.893063, 68701.443376, 0.001207, 0.676734, [187 144]
 3, 7, Novel, 15.964598, 68629.418198, 0.000233,, [18 104]
 3, 8, Sample, 38.043079, 73731.204412, 0.000516, 0.245172, [138 187]
 3, 8, Novel, 24.910047, 79640.049198, 0.000313,, [71 149]
 3, 9, Sample, 82.893063, 64227.876331, 0.001291, 0.686982, [138 41]
 3, 9, Novel, 17.650769, 73707.199748, 0.000239,, [150 95]
 3, 10, Sample, 82.893063, 79662.908078, 0.001041, 0.633778, [39 85]
 3, 10, Novel, 14.934144, 64027.646463, 0.000233,, [99 27]
 3, 11, Sample, 82.893063, 73966.221019, 0.001121, 0.649409, [88 10]
 3, 11, Novel, 16.350427, 68639.074703, 0.000238,, [101 52]
 3, 12, Sample, 82.893063, 86615.078382, 0.000957, 0.603420, [198 185]
 3, 12, Novel, 17.445390, 73700.839854, 0.000237,, [2 164]
 3, 13, Sample, 82.893063, 64256.945086, 0.001290, 0.680662, [77 122]
 3, 13, Novel, 19.518071, 79628.578752, 0.000245,, [191 179]
 3, 14, Sample, 82.893063, 64256.771043, 0.001290, 0.677452, [197 14]
 3, 14, Novel, 21.499833, 86674.390639, 0.000248,, [98 162]
 3, 15, Sample, 82.893063, 73901.206319, 0.001122, 0.652473, [163 5]
 3, 15, Novel, 15.087968, 63960.231588, 0.000236,, [71 93]
 3, 16, Sample, 82.893063, 79834.446827, 0.001038, 0.625585, [60 74]
 3, 16, Novel, 17.650453, 73804.821192, 0.000239,, [118 5]
 3, 17, Sample, 82.893063, 68662.497412, 0.001207, 0.668635, [141 189]
 3, 17, Novel, 20.760167, 86593.972049, 0.000240,, [197 148]
 3, 18, Sample, 82.893063, 86643.554423, 0.000957, 0.584090, [117 113]
 3, 18, Novel, 17.204693, 68492.958375, 0.000251,, [44 39]
