
Caudal Layer, 6-D input stimuli
Experiment:, list6,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 3, 
 Stimulus Set 1:
Sample 1, [ 0.050  0.667, 0.333  0.050, 0.950  0.333, 0.667  0.050 ],Novel 1, [ 0.950  0.667, 0.333  0.950, 0.050  0.050, 0.950  0.050 ] Sample 2, [ 0.950  0.333, 0.050  0.950, 0.050  0.050, 0.667  0.667 ],Novel 2, [ 0.333  0.950, 0.667  0.050, 0.950  0.050, 0.050  0.667 ] Sample 3, [ 0.333  0.950, 0.050  0.050, 0.950  0.050, 0.050  0.333 ],Novel 3, [ 0.667  0.050, 0.667  0.333, 0.950  0.333, 0.333  0.050 ] Sample 4, [ 0.667  0.333, 0.950  0.667, 0.950  0.950, 0.050  0.667 ],Novel 4, [ 0.050  0.050, 0.333  0.667, 0.333  0.333, 0.950  0.050 ] Sample 5, [ 0.667  0.950, 0.950  0.333, 0.950  0.667, 0.667  0.333 ],Novel 5, [ 0.050  0.667, 0.333  0.333, 0.333  0.050, 0.667  0.050 ] Sample 6, [ 0.333  0.667, 0.050  0.950, 0.333  0.950, 0.050  0.050 ],Novel 6, [ 0.950  0.050, 0.950  0.950, 0.950  0.333, 0.050  0.667 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76591.400441, 77412.874194, 77602.728585, 77568.498061, 77293.875320, 0.001072, 0.319912, [197 107], [170 83], [74 36], [36 29]
 1, 1, Novel, 18.974764, 19.642474, 82.893063, 17.141612, 34.662979, 76362.897980, 77301.872610, 58548.950047, 58703.966947, 67729.421896, 0.000553, , [57 119], [148 99], [64 123], [196 16]
 1, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76538.335601, 58767.304495, 58548.950047, 111994.373625, 76462.240942, 0.001162, 0.098413, [46 25], [142 186], [64 123], [38 174]
 1, 2, Novel, 82.893063, 19.632532, 82.893063, 82.893063, 67.077930, 76579.018850, 77274.622700, 58808.964784, 77448.013356, 72527.654922, 0.000954, , [88 157], [170 194], [58 165], [121 90]
 1, 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76579.018850, 58713.869040, 58808.964784, 77563.432415, 67916.321272, 0.001243, 0.445832, [88 157], [106 115], [58 165], [187 11]
 1, 3, Novel, 22.736615, 30.117032, 82.893063, 20.996127, 39.185709, 76559.565173, 111661.153640, 77602.728585, 77469.182128, 85823.157382, 0.000476, , [97 148], [21 8], [74 36], [173 183]
 1, 4, Sample, 82.893063, 82.893063, 72.974012, 82.893063, 80.413301, 109743.294356, 77312.339878, 58803.485078, 77448.013356, 80826.783167, 0.001035, 0.581180, [92 22], [70 190], [74 190], [121 90]
 1, 4, Novel, 15.613863, 29.854562, 29.972070, 17.141612, 23.145527, 58159.298360, 111722.791099, 111590.007423, 58703.966947, 85044.015957, 0.000274, , [137 41], [58 94], [188 162], [196 16]
 1, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76490.866845, 77327.882281, 77628.836625, 112133.251501, 85895.209313, 0.000991, 0.188877, [158 146], [10 151], [73 196], [135 98]
 1, 5, Novel, 82.893063, 31.498020, 20.913748, 82.893063, 54.549473, 76591.400441, 111734.254100, 77233.996182, 77568.498061, 85782.037196, 0.000676, , [197 107], [188 46], [173 183], [36 29]
 1, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109661.782477, 58767.304495, 77365.559587, 58808.515457, 76150.790504, 0.001162, 0.264723, [155 184], [142 186], [31 167], [178 136]
 1, 6, Novel, 16.494041, 16.356185, 82.893063, 82.893063, 49.659088, 58103.825750, 58511.395653, 77602.728585, 77448.013356, 67916.490836, 0.000675, , [106 77], [44 11], [74 36], [121 90]
 2, 1, Sample, 82.893063, 54.406353, 82.893063, 82.893063, 75.771386, 76732.782550, 77291.795405, 77309.615795, 77424.110423, 77189.576043, 0.000982, 0.284214, [17 107], [13 174], [33 111], [130 7]
 2, 1, Novel, 20.580622, 19.741316, 82.893063, 14.834581, 34.512396, 76443.074693, 77316.261028, 58751.967140, 58548.920910, 67765.055943, 0.000547, , [70 172], [24 32], [10 180], [87 155]
 2, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76580.768735, 58752.552083, 58751.967140, 111981.898501, 76516.796615, 0.001161, 0.097111, [146 144], [164 134], [10 180], [134 87]
 2, 2, Novel, 82.893063, 19.946704, 82.893063, 82.893063, 67.156474, 76683.776679, 77195.142390, 58621.639344, 77554.615927, 72513.793585, 0.000956, , [54 105], [16 159], [188 37], [9 62]
 2, 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76683.776679, 58691.880753, 58621.639344, 77628.750170, 67906.511737, 0.001244, 0.460737, [54 105], [14 179], [188 37], [195 152]
 2, 3, Novel, 19.432052, 28.119184, 82.893063, 20.016984, 37.615321, 76482.265967, 111598.608057, 77309.615795, 77455.781661, 85711.567870, 0.000459, , [127 29], [4 151], [33 111], [46 14]
 2, 4, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109774.337402, 77355.800385, 58695.357253, 77554.615927, 80845.027742, 0.001077, 0.608962, [141 43], [153 32], [125 167], [9 62]
 2, 4, Novel, 15.302290, 29.978542, 29.290329, 14.834581, 22.351436, 58107.025023, 111685.453545, 111871.672281, 58548.920910, 85053.267940, 0.000262, , [12 179], [68 18], [28 6], [87 155]
 2, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76597.090090, 77348.498463, 77380.845548, 111930.117255, 85814.137839, 0.000991, 0.177680, [152 102], [126 93], [139 112], [187 129]
 2, 5, Novel, 82.893063, 32.645361, 25.197045, 82.893063, 55.907133, 76732.782550, 111628.764204, 77363.754822, 77424.110423, 85787.353000, 0.000692, , [17 107], [176 157], [10 176], [130 7]
 2, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109881.685083, 58752.552083, 77493.015368, 58837.483115, 76241.183912, 0.001161, 0.258281, [173 144], [164 134], [167 132], [189 68]
 2, 6, Novel, 17.847065, 16.928200, 82.893063, 82.893063, 50.140348, 58079.865681, 58566.658944, 77309.615795, 77554.615927, 67877.689087, 0.000684, , [163 37], [126 167], [33 111], [9 62]
 3, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76481.078482, 77558.664495, 77421.894131, 77395.258924, 77214.224008, 0.001074, 0.325554, [86 190], [57 96], [164 162], [150 119]
 3, 1, Novel, 20.355485, 19.813025, 82.893063, 14.509741, 34.392829, 76721.630700, 77048.618227, 58602.738635, 58505.759535, 67719.686774, 0.000546, , [21 68], [81 64], [25 142], [41 185]
 3, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76715.580631, 58612.550454, 58602.738635, 111929.096747, 76464.991617, 0.001162, 0.096803, [95 188], [99 83], [25 142], [199 112]
 3, 2, Novel, 82.893063, 20.752627, 82.893063, 82.893063, 67.357954, 76732.265079, 77345.162307, 58647.339377, 77684.364577, 72602.282835, 0.000957, , [162 58], [131 175], [69 171], [99 91]
 3, 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76732.265079, 58819.584636, 58647.339377, 77697.517648, 67974.176685, 0.001242, 0.432613, [162 58], [169 8], [69 171], [96 176]
 3, 3, Novel, 20.014945, 28.794581, 82.893063, 29.232600, 40.233797, 76380.130366, 111583.808656, 77421.894131, 77428.109156, 85703.485577, 0.000492, , [155 121], [180 112], [164 162], [44 165]
 3, 4, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109772.133319, 77219.938612, 58795.324470, 77684.364577, 80867.940245, 0.001076, 0.596494, [116 93], [31 52], [142 133], [99 91]
 3, 4, Novel, 17.111155, 29.260366, 31.437137, 14.509741, 23.079600, 57829.272184, 111385.328711, 111634.605552, 58505.759535, 84838.741495, 0.000272, , [193 21], [115 166], [193 15], [41 185]
 3, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76819.113242, 77318.836186, 77521.024279, 111891.203778, 85887.544371, 0.000990, 0.188855, [174 56], [166 69], [127 11], [76 126]
 3, 5, Novel, 82.893063, 30.651766, 21.126734, 82.893063, 54.391157, 76481.078482, 111775.508579, 77201.963007, 77395.258924, 85713.452248, 0.000676, , [86 190], [188 17], [191 23], [150 119]
 3, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109808.884023, 58612.550454, 77441.108893, 58848.739246, 76177.820654, 0.001162, 0.275362, [25 133], [99 83], [72 20], [45 168]
 3, 6, Novel, 13.529009, 15.784360, 82.893063, 82.893063, 48.774874, 58095.285177, 58376.859694, 77421.894131, 77684.364577, 67894.600895, 0.000660, , [131 116], [58 41], [164 162], [99 91]
 4, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76580.851757, 77310.999330, 77480.080264, 77583.592391, 77238.880936, 0.001073, 0.322368, [146 19], [181 146], [4 176], [77 85]
 4, 1, Novel, 19.548358, 20.429004, 82.893063, 15.645138, 34.628891, 76550.142749, 77300.542110, 58642.667180, 58665.724054, 67789.769023, 0.000550, , [99 192], [156 64], [144 23], [148 134]
 4, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76633.228479, 58742.999251, 58642.667180, 111874.752480, 76473.411847, 0.001162, 0.099808, [112 82], [41 75], [144 23], [158 136]
 4, 2, Novel, 82.893063, 18.541436, 82.893063, 82.893063, 66.805156, 76653.751089, 77205.648332, 58693.946566, 77474.359240, 72506.926307, 0.000951, , [76 142], [2 177], [197 134], [136 67]
 4, 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76653.751089, 58621.324154, 58693.946566, 77639.118866, 67902.035169, 0.001244, 0.452631, [76 142], [179 85], [197 134], [199 85]
 4, 3, Novel, 20.198329, 28.576139, 82.893063, 22.082562, 38.437523, 76415.039184, 111660.620922, 77480.080264, 77568.452850, 85781.048305, 0.000469, , [187 101], [114 66], [4 176], [54 155]
 4, 4, Sample, 82.893063, 82.893063, 82.817541, 82.893063, 82.874183, 109779.529149, 77453.306183, 58777.106265, 77474.359240, 80871.075209, 0.001076, 0.610711, [5 3], [60 58], [153 85], [136 67]
 4, 4, Novel, 15.623796, 29.232357, 27.077089, 15.645138, 21.894595, 57953.111891, 111634.158904, 111816.933644, 58665.724054, 85017.482123, 0.000260, , [117 141], [134 122], [153 146], [148 134]
 4, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76646.246012, 77411.610090, 77525.805893, 112116.669485, 85925.082870, 0.000990, 0.175371, [93 41], [195 59], [23 72], [199 27]
 4, 5, Novel, 82.893063, 34.665104, 24.529208, 82.893063, 56.245110, 76580.851757, 111598.796146, 77271.854720, 77583.592391, 85758.773754, 0.000695, , [146 19], [22 155], [140 23], [77 85]
 4, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109814.716021, 58742.999251, 77505.519023, 58897.210688, 76240.111246, 0.001161, 0.258833, [129 132], [41 75], [54 7], [153 22]
 4, 6, Novel, 16.107282, 18.549360, 82.893063, 82.893063, 50.110692, 58076.647422, 58615.340994, 77480.080264, 77474.359240, 67911.606980, 0.000683, , [16 21], [98 193], [4 176], [136 67]
 5, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76640.376004, 77248.004574, 77612.149160, 77463.647128, 77241.044217, 0.001073, 0.304439, [81 149], [10 115], [133 60], [42 71]
 5, 1, Novel, 25.680911, 19.753068, 82.893063, 16.630756, 36.239449, 76477.394025, 77371.605518, 58617.942830, 58598.371449, 67766.328455, 0.000572, , [186 193], [178 159], [46 42], [149 80]
 5, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76599.059698, 58711.900851, 58617.942830, 111961.295606, 76472.549746, 0.001162, 0.095421, [153 48], [4 81], [46 42], [71 92]
 5, 2, Novel, 82.893063, 21.581703, 82.893063, 82.893063, 67.565223, 76691.329518, 77232.774712, 58831.900613, 77514.791606, 72567.699112, 0.000960, , [86 26], [168 140], [9 154], [104 65]
 5, 3, Sample, 82.893063, 82.755069, 82.893063, 82.893063, 82.858565, 76691.329518, 58529.178587, 58831.900613, 77600.746963, 67913.288920, 0.001243, 0.460044, [86 26], [65 153], [9 154], [75 100]
 5, 3, Novel, 19.820029, 26.938868, 82.893063, 20.932933, 37.646223, 76490.716376, 111642.111103, 77612.149160, 77448.633976, 85798.402654, 0.000460, , [124 58], [179 3], [133 60], [129 10]
 5, 4, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109749.782172, 77567.690948, 58785.110664, 77514.791606, 80904.343848, 0.001076, 0.604265, [177 194], [17 76], [125 102], [104 65]
 5, 4, Novel, 14.497035, 29.946417, 29.017301, 16.630756, 22.522877, 58044.261466, 111618.671535, 111735.406694, 58598.371449, 84999.177786, 0.000265, , [78 156], [175 131], [52 23], [149 80]
 5, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76651.496140, 77498.777458, 77577.721731, 111995.076036, 85930.767841, 0.000990, 0.177157, [134 102], [24 118], [130 105], [129 131]
 5, 5, Novel, 82.893063, 27.138364, 28.812791, 82.893063, 55.434320, 76640.376004, 111466.905835, 77303.503557, 77463.647128, 85718.608131, 0.000692, , [81 149], [100 107], [47 39], [42 71]
 5, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109814.361572, 58711.900851, 77353.931218, 58823.155848, 76175.837372, 0.001162, 0.254975, [121 186], [4 81], [140 165], [46 43]
 5, 6, Novel, 19.803038, 16.483839, 82.893063, 82.893063, 50.518251, 58095.010449, 58718.393970, 77612.149160, 77514.791606, 67985.086296, 0.000690, , [157 54], [130 102], [133 60], [104 65]
