
Caudal Layer, 6-D input stimuli
Experiment:, list1,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 1, 
 Stimulus Set 1:
Sample 1, [ 0.667  0.333, 0.050  0.667, 0.333  0.950, 0.333  0.667 ],Novel 1, [ 0.667  0.950, 0.333  0.050, 0.050  0.950, 0.050  0.333 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109805.580246, 77508.197233, 77483.927914, 111970.047615, 94191.938252, 0.000909, 0.546590, [92 22], [54 98], [31 167], [27 27]
 1, 1, Novel, 19.159993, 21.645943, 15.667619, 20.634956, 19.277128, 76287.159169, 77265.053285, 58590.912837, 77340.904325, 72371.007404, 0.000266, , [158 146], [170 83], [89 29], [187 11]
 2, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109833.676943, 77487.222614, 77605.801377, 112097.894835, 94256.148942, 0.000908, 0.532002, [141 43], [61 125], [167 132], [164 18]
 2, 1, Novel, 19.962726, 24.971434, 15.669377, 19.997127, 20.150166, 76388.298773, 77247.576680, 58774.317610, 77408.537994, 72454.682764, 0.000277, , [152 102], [13 176], [24 80], [195 152]
 3, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109844.653366, 77411.238988, 77558.301073, 112270.022056, 94271.053871, 0.000908, 0.531972, [116 93], [143 33], [72 20], [162 55]
 3, 1, Novel, 20.879802, 23.710305, 14.479424, 22.023772, 20.273326, 76607.264944, 77408.575020, 58704.793594, 77474.315552, 72548.737278, 0.000277, , [174 56], [57 96], [1 79], [96 176]
 4, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109840.310947, 77456.231774, 77621.761568, 112058.809457, 94244.278436, 0.000908, 0.527081, [5 3], [74 7], [54 7], [9 17]
 4, 1, Novel, 22.080905, 21.145482, 15.629870, 22.914372, 20.442657, 76437.457520, 77155.967949, 58746.272128, 77426.703643, 72441.600310, 0.000281, , [93 41], [181 146], [146 119], [199 85]
 5, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109839.248066, 77335.136089, 77486.578324, 112088.489621, 94187.363025, 0.000909, 0.552294, [177 194], [185 81], [140 165], [134 127]
 5, 1, Novel, 22.090248, 19.777469, 14.492609, 19.802377, 19.040675, 76443.532788, 77096.097447, 58613.896103, 77390.805161, 72386.082875, 0.000262, , [134 102], [10 115], [80 153], [75 100]
 6, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109816.478210, 77276.998258, 77482.231191, 111789.227268, 94091.233732, 0.000910, 0.509314, [14 148], [167 187], [137 82], [63 116]
 6, 1, Novel, 21.795860, 23.353878, 19.238889, 20.647298, 21.258981, 76371.032240, 77271.718618, 58611.307302, 77289.842723, 72385.975221, 0.000296, , [112 23], [194 39], [166 192], [5 82]
