
Caudal Layer, 6-D input stimuli
Experiment:, list6,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 4, 
 Stimulus Set 1:
Sample 1, [ 0.333  0.050, 0.667  0.950, 0.950  0.667, 0.667  0.333 ],Novel 1, [ 0.050  0.667, 0.050  0.950, 0.667  0.667, 0.950  0.950 ] Sample 2, [ 0.667  0.050, 0.667  0.667, 0.950  0.050, 0.667  0.950 ],Novel 2, [ 0.333  0.050, 0.950  0.950, 0.050  0.333, 0.050  0.667 ] Sample 3, [ 0.050  0.333, 0.050  0.050, 0.333  0.050, 0.950  0.667 ],Novel 3, [ 0.333  0.667, 0.333  0.950, 0.950  0.333, 0.333  0.333 ] Sample 4, [ 0.950  0.667, 0.950  0.333, 0.667  0.667, 0.333  0.950 ],Novel 4, [ 0.333  0.050, 0.050  0.667, 0.667  0.950, 0.950  0.950 ] Sample 5, [ 0.950  0.667, 0.950  0.950, 0.667  0.333, 0.667  0.050 ],Novel 5, [ 0.950  0.333, 0.050  0.950, 0.333  0.950, 0.333  0.667 ] Sample 6, [ 0.950  0.950, 0.667  0.950, 0.333  0.050, 0.050  0.950 ],Novel 6, [ 0.333  0.667, 0.333  0.950, 0.050  0.050, 0.950  0.667 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 2, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58158.436474, 77600.427792, 77628.036463, 58809.420244, 68049.080243, 0.001243, 0.438026, [137 114], [170 158], [180 95], [138 11]
 2, 6, Novel, 29.710098, 19.741316, 20.385144, 82.893063, 38.182405, 109554.092294, 77333.382682, 58726.350239, 77542.967501, 80789.198179, 0.000486, , [173 144], [24 32], [10 180], [150 165]
 3, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76440.276146, 77318.011831, 77484.430336, 111855.940401, 85774.664679, 0.000992, 0.414735, [59 96], [93 181], [127 11], [76 126]
 3, 1, Novel, 18.922380, 22.658434, 82.893063, 15.561203, 35.008770, 76247.604308, 58425.327187, 111989.918127, 58697.498581, 76340.087051, 0.000410, , [86 190], [99 83], [162 193], [148 167]
 3, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76570.045513, 111587.065166, 58686.993386, 77648.767609, 81123.217918, 0.001076, 0.175808, [155 121], [85 13], [69 171], [61 139]
 3, 2, Novel, 82.893063, 82.893063, 19.018012, 21.218962, 51.505775, 76440.276146, 58630.774390, 77284.425965, 77550.047846, 72476.381087, 0.000754, , [59 96], [58 41], [54 151], [99 91]
 3, 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76335.632842, 58727.892894, 77455.521676, 77439.647778, 72489.673797, 0.001160, 0.605179, [166 6], [169 8], [191 23], [165 161]
 3, 3, Novel, 27.876170, 19.813025, 27.943166, 29.975822, 26.402046, 109501.553864, 77094.565482, 77352.489216, 111857.906233, 93951.628699, 0.000285, , [25 133], [81 64], [72 170], [171 165]
 3, 4, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76895.061653, 77346.299433, 111989.918127, 77733.072558, 85991.087943, 0.000989, 0.348737, [21 68], [166 69], [162 193], [161 13]
 3, 4, Novel, 82.893063, 21.028162, 22.304264, 15.561203, 35.446673, 76440.276146, 77163.325715, 77357.969427, 58697.498581, 72414.767467, 0.000478, , [59 96], [143 33], [79 83], [148 167]
