
Perirhinal Layer, 24-D input stimuli
Experiment:, list12, 
Stim Condition:, 2, 
 Stimulus Set 1:
Sample 1, [ 0.333 0.050, 0.950 0.667, 0.333 0.950, 0.333 0.667 ],Novel 1, [ 0.950 0.050, 0.667 0.667, 0.050 0.333, 0.950 0.333 ] Sample 2, [ 0.050 0.950, 0.667 0.050, 0.050 0.667, 0.050 0.050 ],Novel 2, [ 0.950 0.950, 0.050 0.333, 0.950 0.667, 0.667 0.950 ] Sample 3, [ 0.950 0.667, 0.667 0.333, 0.667 0.050, 0.050 0.333 ],Novel 3, [ 0.950 0.950, 0.333 0.950, 0.050 0.050, 0.667 0.667 ] Sample 4, [ 0.050 0.333, 0.950 0.050, 0.333 0.667, 0.950 0.950 ],Novel 4, [ 0.050 0.050, 0.050 0.667, 0.667 0.667, 0.050 0.950 ] Sample 5, [ 0.333 0.950, 0.333 0.667, 0.050 0.950, 0.050 0.050 ],Novel 5, [ 0.667 0.950, 0.950 0.950, 0.667 0.050, 0.950 0.050 ] Sample 6, [ 0.333 0.333, 0.050 0.333, 0.667 0.950, 0.333 0.667 ],Novel 6, [ 0.950 0.950, 0.050 0.050, 0.667 0.333, 0.050 0.667 ] Sample 7, [ 0.050 0.950, 0.050 0.050, 0.667 0.667, 0.333 0.667 ],Novel 7, [ 0.667 0.050, 0.050 0.667, 0.050 0.333, 0.950 0.950 ] Sample 8, [ 0.050 0.050, 0.667 0.667, 0.050 0.950, 0.950 0.667 ],Novel 8, [ 0.950 0.333, 0.333 0.667, 0.667 0.050, 0.333 0.050 ] Sample 9, [ 0.950 0.667, 0.050 0.333, 0.667 0.333, 0.050 0.667 ],Novel 9, [ 0.950 0.050, 0.333 0.950, 0.950 0.333, 0.667 0.950 ] Sample 10, [ 0.050 0.950, 0.333 0.333, 0.333 0.950, 0.050 0.667 ],Novel 10, [ 0.667 0.050, 0.050 0.050, 0.667 0.950, 0.667 0.667 ] Sample 11, [ 0.950 0.333, 0.333 0.050, 0.333 0.333, 0.050 0.950 ],Novel 11, [ 0.667 0.667, 0.950 0.950, 0.950 0.050, 0.333 0.950 ] Sample 12, [ 0.050 0.050, 0.667 0.667, 0.333 0.333, 0.333 0.050 ],Novel 12, [ 0.950 0.667, 0.950 0.333, 0.667 0.950, 0.667 0.050 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 1, 1, Sample, 41.377080, 79728.374006, 0.000519, 0.363038, [143 8]
 1, 1, Novel, 17.854969, 73621.848475, 0.000243,, [57 24]
 1, 2, Sample, 82.893063, 64428.171342, 0.001287, 0.675093, [131 92]
 1, 2, Novel, 17.102818, 68533.742298, 0.000250,, [124 87]
 1, 3, Sample, 82.893063, 79820.564374, 0.001038, 0.619790, [66 132]
 1, 3, Novel, 16.702582, 68519.775979, 0.000244,, [44 42]
 1, 4, Sample, 82.893063, 68701.144202, 0.001207, 0.669934, [194 33]
 1, 4, Novel, 16.371015, 68646.775676, 0.000238,, [89 153]
 1, 5, Sample, 82.893063, 68960.780009, 0.001202, 0.679599, [48 135]
 1, 5, Novel, 14.670067, 63977.522045, 0.000229,, [110 190]
 1, 6, Sample, 82.893063, 86775.439820, 0.000955, 0.380839, [181 146]
 1, 6, Novel, 29.427415, 68702.158964, 0.000428,, [83 53]
 1, 7, Sample, 42.836813, 73961.205856, 0.000579, 0.420761, [170 109]
 1, 7, Novel, 16.167175, 68467.518625, 0.000236,, [167 130]
 1, 8, Sample, 82.893063, 68741.762148, 0.001206, 0.676547, [141 5]
 1, 8, Novel, 18.530370, 79651.017512, 0.000233,, [145 165]
 1, 9, Sample, 47.805469, 79746.858070, 0.000599, 0.453527, [82 52]
 1, 9, Novel, 15.419454, 68416.290636, 0.000225,, [185 107]
 1, 10, Sample, 82.893063, 74121.557982, 0.001118, 0.552404, [173 107]
 1, 10, Novel, 23.776649, 73738.790599, 0.000322,, [181 143]
 1, 11, Sample, 82.893063, 73883.369484, 0.001122, 0.649697, [85 50]
 1, 11, Novel, 16.317912, 68494.105870, 0.000238,, [126 104]
 1, 12, Sample, 82.893063, 79891.558924, 0.001038, 0.604000, [102 126]
 1, 12, Novel, 18.890629, 73745.864465, 0.000256,, [168 92]
 2, 1, Sample, 82.893063, 79800.782791, 0.001039, 0.622760, [93 10]
 2, 1, Novel, 17.805135, 73734.466420, 0.000241,, [27 37]
 2, 2, Sample, 39.508469, 64155.913377, 0.000616, 0.433274, [131 89]
 2, 2, Novel, 16.730065, 68706.811183, 0.000243,, [117 173]
 2, 3, Sample, 82.893063, 79799.620721, 0.001039, 0.625777, [111 94]
 2, 3, Novel, 16.390374, 68549.125055, 0.000239,, [186 134]
 2, 4, Sample, 82.893063, 68702.502207, 0.001207, 0.582459, [42 52]
 2, 4, Novel, 21.877617, 68720.625210, 0.000318,, [133 137]
 2, 5, Sample, 82.893063, 68858.437294, 0.001204, 0.676213, [130 85]
 2, 5, Novel, 14.850234, 63861.907311, 0.000233,, [46 14]
 2, 6, Sample, 82.893063, 86945.108956, 0.000953, 0.302763, [136 137]
 2, 6, Novel, 35.106776, 68802.327837, 0.000510,, [68 43]
 2, 7, Sample, 82.893063, 74020.677408, 0.001120, 0.646564, [19 158]
 2, 7, Novel, 16.503837, 68657.385692, 0.000240,, [16 128]
 2, 8, Sample, 82.893063, 68764.683566, 0.001205, 0.663707, [196 128]
 2, 8, Novel, 19.417562, 79689.424712, 0.000244,, [50 28]
 2, 9, Sample, 82.893063, 79969.551594, 0.001037, 0.618914, [68 43]
 2, 9, Novel, 16.737927, 68597.695953, 0.000244,, [4 174]
 2, 10, Sample, 82.893063, 74036.180976, 0.001120, 0.554552, [114 51]
 2, 10, Novel, 23.737543, 73989.489890, 0.000321,, [136 134]
 2, 11, Sample, 82.893063, 74043.909205, 0.001120, 0.650136, [99 98]
 2, 11, Novel, 16.246190, 68445.167970, 0.000237,, [62 80]
 2, 12, Sample, 82.893063, 79725.643055, 0.001040, 0.622175, [172 111]
 2, 12, Novel, 17.861291, 73756.429108, 0.000242,, [41 198]
 3, 1, Sample, 82.893063, 79918.672933, 0.001037, 0.634618, [95 80]
 3, 1, Novel, 17.111371, 73804.778153, 0.000232,, [84 177]
 3, 2, Sample, 49.636705, 64212.862596, 0.000773, 0.534641, [84 66]
 3, 2, Novel, 16.051512, 68478.499550, 0.000234,, [49 3]
 3, 3, Sample, 52.628127, 79628.077645, 0.000661, 0.472662, [54 192]
 3, 3, Novel, 16.212092, 68501.628938, 0.000237,, [170 179]
 3, 4, Sample, 82.893063, 68800.539797, 0.001205, 0.680544, [141 119]
 3, 4, Novel, 15.704410, 68570.085453, 0.000229,, [9 64]
 3, 5, Sample, 82.893063, 68811.767712, 0.001205, 0.686650, [86 62]
 3, 5, Novel, 14.331166, 64035.573732, 0.000224,, [71 135]
 3, 6, Sample, 82.893063, 86656.660060, 0.000957, 0.335564, [200 128]
 3, 6, Novel, 32.607398, 68519.102111, 0.000476,, [57 191]
 3, 7, Sample, 42.615533, 73746.558761, 0.000578, 0.361146, [69 2]
 3, 7, Novel, 18.590778, 68544.844119, 0.000271,, [42 163]
 3, 8, Sample, 82.893063, 68857.892644, 0.001204, 0.654097, [178 16]
 3, 8, Novel, 20.036566, 79591.165509, 0.000252,, [192 80]
 3, 9, Sample, 61.555936, 79581.941753, 0.000773, 0.522727, [58 190]
 3, 9, Novel, 16.607883, 68503.772980, 0.000242,, [93 57]
 3, 10, Sample, 82.893063, 73933.308837, 0.001121, 0.531945, [73 1]
 3, 10, Novel, 25.262592, 73747.298871, 0.000343,, [2 127]
 3, 11, Sample, 82.893063, 73812.056568, 0.001123, 0.637372, [55 187]
 3, 11, Novel, 17.038517, 68505.656141, 0.000249,, [160 83]
 3, 12, Sample, 82.893063, 79869.547213, 0.001038, 0.613805, [199 99]
 3, 12, Novel, 18.341118, 73847.181038, 0.000248,, [61 84]
 4, 1, Sample, 82.893063, 79878.512437, 0.001038, 0.618307, [107 176]
 4, 1, Novel, 18.054756, 73765.009732, 0.000245,, [70 198]
 4, 2, Sample, 57.376911, 64244.740017, 0.000893, 0.538930, [130 75]
 4, 2, Novel, 18.317982, 68459.001757, 0.000268,, [40 144]
 4, 3, Sample, 82.893063, 79762.203105, 0.001039, 0.616191, [34 50]
 4, 3, Novel, 16.902818, 68488.145943, 0.000247,, [185 161]
 4, 4, Sample, 82.893063, 68716.648072, 0.001206, 0.562230, [15 39]
 4, 4, Novel, 23.201384, 68636.777795, 0.000338,, [30 1]
 4, 5, Sample, 82.893063, 68846.129267, 0.001204, 0.648027, [129 80]
 4, 5, Novel, 16.435111, 63912.874980, 0.000257,, [108 75]
 4, 6, Sample, 82.893063, 86728.880026, 0.000956, 0.360051, [28 200]
 4, 6, Novel, 30.846517, 68590.080053, 0.000450,, [21 57]
 4, 7, Sample, 42.415966, 73785.629667, 0.000575, 0.409307, [189 52]
 4, 7, Novel, 16.518805, 68559.136086, 0.000241,, [142 97]
 4, 8, Sample, 82.893063, 68797.406313, 0.001205, 0.592578, [37 187]
 4, 8, Novel, 24.554440, 79659.862437, 0.000308,, [35 53]
 4, 9, Sample, 43.811829, 79668.107551, 0.000550, 0.345383, [20 58]
 4, 9, Novel, 18.326807, 68491.853111, 0.000268,, [176 74]
 4, 10, Sample, 82.893063, 73959.468719, 0.001121, 0.619400, [185 53]
 4, 10, Novel, 19.437441, 73790.528085, 0.000263,, [85 113]
 4, 11, Sample, 82.893063, 73904.961009, 0.001122, 0.636393, [23 60]
 4, 11, Novel, 17.057720, 68443.328795, 0.000249,, [26 53]
 4, 12, Sample, 82.893063, 79892.213774, 0.001038, 0.618543, [4 50]
 4, 12, Novel, 18.027189, 73721.271215, 0.000245,, [158 7]
 5, 1, Sample, 82.893063, 79925.919797, 0.001037, 0.638696, [147 11]
