rat,half,dPrime,controlLesion,ambiguity
15,1,3.87446980959561,2,1
16,1,1.41218757890616,2,1
17,1,2.12868507908416,2,1
18,1,2.49285445355548,2,1
19,1,2.83736641852006,2,1
20,1,3.34295811164069,2,1
21,1,3.06927107794529,2,1
22,1,3.05688989191539,2,1
23,1,3.34295811164069,2,1
24,1,3.87446980959561,2,1
25,1,3.87026235698071,2,1
26,1,2.52485637901522,2,1
27,1,3.02988379461125,2,1
28,1,3.87026235698071,2,1
29,1,3.35011908975899,2,1
30,1,1.88950996033343,2,1
31,1,3.87446980959561,2,1
32,1,2.82159810471423,2,1
33,1,2.36826801522544,2,1
34,1,2.83736641852006,2,1
35,1,3.87446980959561,2,1
36,1,3.35011908975899,2,1
37,1,3.87446980959561,2,1
38,1,3.35220190974959,2,1
39,1,3.35474375301895,2,1
40,1,3.87446980959561,2,1
1,1,3.35474375301895,2,2
2,1,1.79502188877799,2,2
3,1,1.29007970891301,2,2
4,1,1.45939424621665,2,2
5,1,1.61704914653464,2,2
6,1,1.00427421139194,2,2
7,1,1.57211255337343,2,2
8,1,1.67388132376521,2,2
9,1,1.4252734971142,2,2
10,1,2.49285445355548,2,2
11,1,0.823958287813065,2,2
12,1,1.41218757890616,2,2
13,1,2.52485637901522,2,2
14,1,1.64995986518638,2,2
15,1,2.53146335754252,2,2
16,1,1.05075254644696,2,2
17,1,1.27444333434955,2,2
18,1,2.10362425132835,2,2
19,1,0.667445046360934,2,2
20,1,2.01655296406567,2,2
21,1,2.01991419915024,2,2
22,1,3.06485520543157,2,2
23,1,2.13840915346111,2,2
24,1,1.79622341124765,2,2
25,1,0.864904370755024,2,2
26,1,2.52485637901522,2,2
27,1,1.96711052160882,2,2
28,1,2.11402122113454,2,2
29,1,2.84909511612904,2,2
30,1,2.31912380603236,2,2
31,1,1.27444333434955,2,2
32,1,1.80866533524405,2,2
33,1,1.42990477655655,2,2
34,1,1.18689844513295,2,2
35,1,1.83675631727052,2,2
36,1,1.83545588124055,2,2
37,1,2.85693152643513,2,2
38,1,1.06435476313626,2,2
39,1,1.64995986518638,2,2
40,1,1.31539631034405,2,2
1,2,2.10362425132835,1,1
2,2,3.87026235698071,1,1
3,2,3.06485520543157,1,1
4,2,3.87446980959561,1,1
5,2,3.87586302170566,1,1
6,2,3.35474375301895,1,1
7,2,3.87026235698071,1,1
8,2,3.34295811164069,1,1
9,2,2.81693603261618,1,1
10,2,2.83736641852006,1,1
11,2,3.35403729599401,1,1
12,2,3.35474375301895,1,1
13,2,2.82437515781233,1,1
14,2,1.92308572369802,1,1
15,2,3.07014591764385,1,1
16,2,3.06485520543157,1,1
17,2,3.04528889261681,1,1
18,2,2.01655296406567,1,1
19,2,3.35011908975899,1,1
20,2,3.87026235698071,1,1
21,2,3.06927107794529,1,1
22,2,3.35011908975899,1,1
23,2,3.35011908975899,1,1
24,2,3.34295811164069,1,1
25,2,3.34295811164069,1,1
26,2,3.35403729599401,1,1
27,2,2.63445373473614,1,1
28,2,3.34295811164069,1,1
29,2,1.79622341124765,1,1
30,2,3.87446980959561,1,1
31,2,3.34295811164069,1,1
32,2,2.53114595996872,1,1
33,2,3.35403729599401,1,1
34,2,2.82159810471423,1,1
35,2,2.52485637901522,1,1
36,2,2.84909511612904,1,1
37,2,3.05688989191539,1,1
38,2,3.87446980959561,1,1
39,2,3.34295811164069,1,1
40,2,1.10624818515184,1,1
1,2,0.962250249279236,1,2
2,2,2.01655296406567,1,2
3,2,1.83545588124055,1,2
4,2,1.26390308546983,1,2
5,2,1.61243069607576,1,2
6,2,1.11665126845833,1,2
7,2,0.489497051236538,1,2
8,2,0.961647194574017,1,2
9,2,1.08721997700622,1,2
10,2,1.22003430069446,1,2
11,2,1.52568263293392,1,2
12,2,2.51226595109804,1,2
13,2,0.595951106831161,1,2
14,2,0.940440201372223,1,2
15,2,1.1109054442,1,2
16,2,1.10984588540531,1,2
17,2,0.564035438359907,1,2
18,2,0.821917068107606,1,2
19,2,1.26638837859457,1,2
20,2,2.30116559111263,1,2
21,2,2.09413801031771,1,2
22,2,2.31758341817412,1,2
23,2,1.06435476313626,1,2
24,2,2.09413801031771,1,2
25,2,1.3061591595386,1,2
26,2,1.68308503411924,1,2
27,2,0.24895444364592,1,2
28,2,2.01991419915024,1,2
29,2,0.823958287813065,1,2
30,2,0.986645528786389,1,2
31,2,1.53908709824664,1,2
32,2,0.798927342230959,1,2
33,2,1.45939424621665,1,2
34,2,1.84073993443723,1,2
35,2,0.45468573153181,1,2
36,2,1.45827624929476,1,2
37,2,1.43299500035598,1,2
38,2,1.45435785036989,1,2
39,2,0.924340898117386,1,2
40,2,1.57211255337343,1,2
1,2,3.35403729599401,2,1
2,2,2.68114856807681,2,1
3,2,1.82483913057209,2,1
4,2,2.82252559803909,2,1
5,2,2.84909511612904,2,1
6,2,3.35011908975899,2,1
7,2,3.35474375301895,2,1
8,2,3.06485520543157,2,1
9,2,3.05688989191539,2,1
10,2,3.35011908975899,2,1
11,2,2.82252559803909,2,1
12,2,3.34295811164069,2,1
13,2,3.06485520543157,2,1
14,2,3.34295811164069,2,1
15,2,3.87446980959561,2,1
16,2,2.34465576272419,2,1
17,2,3.87586302170566,2,1
18,2,3.05688989191539,2,1
19,2,2.12868507908416,2,1
20,2,2.82252559803909,2,1
21,2,2.22889251557583,2,1
22,2,2.82437515781233,2,1
23,2,3.34295811164069,2,1
24,2,3.04528889261681,2,1
25,2,2.68114856807681,2,1
26,2,2.53334350747665,2,1
27,2,3.35474375301895,2,1
28,2,2.51436519064949,2,1
29,2,2.83736641852006,2,1
30,2,3.06927107794529,2,1
31,2,2.01198350055018,2,1
32,2,3.87446980959561,2,1
33,2,2.52485637901522,2,1
34,2,1.96711052160882,2,1
35,2,2.82159810471423,2,1
36,2,3.87586302170566,2,1
37,2,2.11402122113454,2,1
38,2,2.53722161761773,2,1
39,2,2.53146335754252,2,1
40,2,3.35403729599401,2,1
1,2,1.12610478831374,2,2
2,2,0.929231936930759,2,2
3,2,1.27444333434955,2,2
4,2,0.737196528139296,2,2
5,2,1.98075425314312,2,2
6,2,0.766685544112384,2,2
7,2,1.60907904126956,2,2
8,2,2.12868507908416,2,2
9,2,2.14334084767404,2,2
10,2,0.406724251871364,2,2
11,2,2.255616317134,2,2
12,2,1.16642903307219,2,2
13,2,2.13840915346111,2,2
14,2,2.01198350055018,2,2
15,2,2.51436519064949,2,2
16,2,1.22910307669053,2,2
17,2,1.36984655062,2,2
18,2,0.825099946678925,2,2
19,2,0.542994756209797,2,2
20,2,1.31799265901393,2,2
21,2,1.31539631034405,2,2
22,2,1.98075425314312,2,2
23,2,2.36826801522544,2,2
24,2,1.45939424621665,2,2
25,2,1.05075254644696,2,2
26,2,0.953250543882009,2,2
27,2,2.3116224865734,2,2
28,2,1.45939424621665,2,2
29,2,2.01991419915024,2,2
30,2,0.854501669249107,2,2
31,2,1.42990477655655,2,2
32,2,0.929483284924129,2,2
33,2,0.929231936930759,2,2
34,2,0.643651498017536,2,2
35,2,1.60907904126956,2,2
36,2,1.27142044288065,2,2
37,2,1.06183248221841,2,2
38,2,2.63445373473614,2,2
39,2,0.863608176468874,2,2
40,2,1.50583979821554,2,2
