
Caudal Layer, 6-D input stimuli
Experiment:, list18,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 1, 
 Stimulus Set 1:
Sample 1, [ 0.333  0.050, 0.050  0.667, 0.050  0.333, 0.950  0.950 ],Novel 1, [ 0.333  0.333, 0.950  0.333, 0.667  0.950, 0.050  0.050 ] Sample 2, [ 0.050  0.667, 0.667  0.333, 0.333  0.050, 0.050  0.333 ],Novel 2, [ 0.950  0.333, 0.950  0.667, 0.333  0.667, 0.333  0.333 ] Sample 3, [ 0.950  0.050, 0.667  0.050, 0.050  0.050, 0.050  0.667 ],Novel 3, [ 0.333  0.050, 0.667  0.950, 0.050  0.950, 0.050  0.333 ] Sample 4, [ 0.050  0.333, 0.333  0.333, 0.667  0.050, 0.950  0.333 ],Novel 4, [ 0.333  0.667, 0.333  0.050, 0.333  0.950, 0.050  0.667 ] Sample 5, [ 0.333  0.333, 0.950  0.333, 0.333  0.050, 0.050  0.950 ],Novel 5, [ 0.667  0.050, 0.950  0.667, 0.333  0.950, 0.050  0.333 ] Sample 6, [ 0.050  0.950, 0.333  0.950, 0.050  0.667, 0.667  0.333 ],Novel 6, [ 0.333  0.050, 0.050  0.333, 0.950  0.667, 0.667  0.050 ] Sample 7, [ 0.050  0.050, 0.950  0.050, 0.667  0.050, 0.050  0.333 ],Novel 7, [ 0.667  0.950, 0.333  0.050, 0.333  0.667, 0.950  0.667 ] Sample 8, [ 0.050  0.950, 0.333  0.050, 0.667  0.050, 0.667  0.667 ],Novel 8, [ 0.050  0.333, 0.667  0.333, 0.950  0.050, 0.050  0.667 ] Sample 9, [ 0.667  0.950, 0.950  0.333, 0.333  0.333, 0.050  0.667 ],Novel 9, [ 0.050  0.333, 0.667  0.333, 0.950  0.667, 0.050  0.050 ] Sample 10, [ 0.333  0.950, 0.050  0.950, 0.050  0.333, 0.667  0.950 ],Novel 10, [ 0.950  0.050, 0.333  0.050, 0.050  0.667, 0.050  0.050 ] Sample 11, [ 0.333  0.950, 0.050  0.950, 0.050  0.333, 0.667  0.950 ],Novel 11, [ 0.950  0.050, 0.333  0.050, 0.050  0.667, 0.050  0.050 ] Sample 12, [ 0.050  0.333, 0.667  0.333, 0.333  0.950, 0.667  0.050 ],Novel 12, [ 0.667  0.950, 0.950  0.667, 0.050  0.050, 0.050  0.950 ] Sample 13, [ 0.050  0.667, 0.950  0.667, 0.333  0.333, 0.333  0.950 ],Novel 13, [ 0.333  0.667, 0.667  0.667, 0.950  0.950, 0.050  0.950 ] Sample 14, [ 0.950  0.667, 0.667  0.050, 0.950  0.950, 0.333  0.050 ],Novel 14, [ 0.050  0.950, 0.667  0.950, 0.050  0.667, 0.950  0.050 ] Sample 15, [ 0.667  0.050, 0.050  0.333, 0.950  0.950, 0.667  0.333 ],Novel 15, [ 0.333  0.333, 0.050  0.950, 0.333  0.950, 0.950  0.667 ] Sample 16, [ 0.667  0.050, 0.050  0.333, 0.950  0.333, 0.050  0.950 ],Novel 16, [ 0.333  0.950, 0.050  0.050, 0.667  0.950, 0.950  0.050 ] Sample 17, [ 0.050  0.950, 0.333  0.667, 0.333  0.333, 0.950  0.050 ],Novel 17, [ 0.950  0.950, 0.667  0.050, 0.333  0.050, 0.667  0.333 ] Sample 18, [ 0.050  0.333, 0.050  0.667, 0.050  0.950, 0.050  0.050 ],Novel 18, [ 0.667  0.050, 0.333  0.333, 0.333  0.950, 0.667  0.667 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, 9, Novel, 82.893063, 82.893063, 26.870079, 82.893063, 68.887317, 76862.760542, 111853.584388, 77288.502842, 58747.047168, 81187.973735, 0.000895, , [153 142], [21 8], [73 196], [178 136]
 1, 10, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76571.923503, 58846.156549, 77540.765697, 77472.768911, 72607.903665, 0.001158, -0.036057, [88 157], [142 186], [89 144], [113 142]
 1, 10, Novel, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58173.546070, 77441.403757, 77453.680166, 58747.047168, 67953.919290, 0.001244, , [106 77], [170 83], [145 108], [178 136]
 1, 11, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76571.923503, 58846.156549, 77540.765697, 77472.768911, 72607.903665, 0.001158, -0.036057, [88 157], [142 186], [89 144], [113 142]
 1, 11, Novel, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58173.546070, 77441.403757, 77453.680166, 58747.047168, 67953.919290, 0.001244, , [106 77], [170 83], [145 108], [178 136]
 1, 12, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76862.760542, 111853.584388, 77395.356964, 77554.070885, 85916.443195, 0.000990, -0.113902, [153 142], [21 8], [31 167], [36 29]
 1, 12, Novel, 82.634288, 82.893063, 82.893063, 82.893063, 82.828369, 76320.473313, 77263.626564, 58779.281457, 58726.977584, 67772.589729, 0.001244, , [158 146], [70 190], [64 123], [86 25]
 1, 13, Sample, 82.893063, 82.893063, 82.893063, 74.748431, 80.856905, 76716.287718, 77263.626564, 111935.648199, 77366.553026, 85820.528877, 0.000965, 0.057170, [197 107], [70 190], [188 162], [89 29]
 1, 13, Novel, 33.520782, 34.856857, 82.893063, 82.893063, 58.540941, 109460.265957, 111465.814099, 58700.429496, 58726.977584, 84588.371784, 0.000861, , [157 5], [72 192], [74 191], [86 25]
 1, 14, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76266.095966, 77530.373824, 58700.429496, 77481.487541, 72494.596707, 0.001160, 0.053432, [57 119], [170 194], [74 191], [173 183]
 1, 14, Novel, 82.893063, 20.593175, 82.893063, 82.893063, 67.318091, 58319.125479, 77170.434278, 77453.680166, 58827.202109, 67942.610508, 0.001042, , [156 10], [159 102], [145 108], [196 16]
 1, 15, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76747.579125, 77525.273271, 58700.429496, 112092.210520, 81266.373103, 0.001075, 0.084547, [97 148], [40 120], [74 191], [135 98]
 1, 15, Novel, 82.893063, 82.893063, 82.893063, 30.673013, 69.838051, 109867.737417, 58846.156549, 77395.356964, 77411.389591, 80880.160130, 0.000908, , [38 90], [142 186], [31 167], [77 196]
 1, 16, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76747.579125, 77525.273271, 77389.239259, 58726.977584, 72597.267310, 0.001158, 0.211478, [97 148], [40 120], [74 36], [86 25]
 1, 16, Novel, 82.893063, 15.831757, 19.562749, 82.893063, 50.295158, 76571.923503, 58641.670887, 77264.941054, 58827.202109, 67826.434388, 0.000754, , [88 157], [106 115], [138 102], [196 16]
 1, 17, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58319.125479, 111875.254112, 111935.648199, 58827.202109, 85239.307475, 0.001078, 0.153799, [156 10], [58 94], [188 162], [196 16]
 1, 17, Novel, 16.487874, 82.893063, 82.893063, 82.893063, 66.291766, 57833.479811, 77530.373824, 77569.542715, 112092.210520, 81256.401717, 0.000791, , [151 67], [170 194], [173 183], [135 98]
