
Caudal Layer, 6-D input stimuli
Experiment:, list12,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 1, 
 Stimulus Set 1:
Sample 1, [ 0.333  0.333, 0.667  0.950, 0.050  0.950, 0.667  0.333 ],Novel 1, [ 0.950  0.050, 0.050  0.050, 0.333  0.950, 0.050  0.333 ] Sample 2, [ 0.333  0.950, 0.667  0.950, 0.333  0.050, 0.333  0.333 ],Novel 2, [ 0.050  0.050, 0.050  0.333, 0.950  0.950, 0.667  0.050 ] Sample 3, [ 0.667  0.333, 0.667  0.950, 0.333  0.667, 0.333  0.950 ],Novel 3, [ 0.333  0.050, 0.950  0.333, 0.050  0.667, 0.333  0.333 ] Sample 4, [ 0.950  0.950, 0.667  0.333, 0.050  0.950, 0.667  0.950 ],Novel 4, [ 0.050  0.333, 0.333  0.667, 0.950  0.667, 0.333  0.050 ] Sample 5, [ 0.667  0.333, 0.950  0.667, 0.050  0.950, 0.667  0.950 ],Novel 5, [ 0.333  0.950, 0.333  0.333, 0.050  0.050, 0.667  0.050 ] Sample 6, [ 0.050  0.667, 0.050  0.050, 0.667  0.667, 0.050  0.950 ],Novel 6, [ 0.667  0.950, 0.950  0.050, 0.950  0.667, 0.950  0.950 ] Sample 7, [ 0.667  0.050, 0.950  0.050, 0.050  0.667, 0.333  0.050 ],Novel 7, [ 0.333  0.333, 0.050  0.950, 0.667  0.333, 0.950  0.333 ] Sample 8, [ 0.950  0.050, 0.333  0.950, 0.333  0.050, 0.950  0.667 ],Novel 8, [ 0.667  0.950, 0.333  0.333, 0.050  0.050, 0.050  0.333 ] Sample 9, [ 0.333  0.667, 0.333  0.333, 0.667  0.667, 0.050  0.050 ],Novel 9, [ 0.333  0.950, 0.667  0.050, 0.050  0.667, 0.050  0.950 ] Sample 10, [ 0.333  0.667, 0.050  0.333, 0.333  0.950, 0.333  0.050 ],Novel 10, [ 0.950  0.050, 0.667  0.667, 0.667  0.950, 0.950  0.667 ] Sample 11, [ 0.667  0.333, 0.950  0.050, 0.333  0.950, 0.950  0.667 ],Novel 11, [ 0.050  0.950, 0.050  0.667, 0.333  0.667, 0.050  0.333 ] Sample 12, [ 0.333  0.667, 0.333  0.333, 0.950  0.950, 0.950  0.667 ],Novel 12, [ 0.667  0.050, 0.667  0.333, 0.333  0.050, 0.950  0.333 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, 9, Novel, 82.893063, 19.632532, 82.893063, 82.893063, 67.077930, 76504.515571, 77303.146774, 77509.150847, 58686.241806, 72500.763750, 0.000955, , [88 157], [170 194], [145 108], [86 26]
 1, 10, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109668.999395, 77443.433099, 77685.059798, 77547.526567, 85586.254715, 0.000991, 0.129275, [155 184], [40 120], [31 167], [173 183]
 1, 10, Novel, 82.893063, 34.856857, 19.562749, 82.893063, 55.051433, 58288.498120, 111602.051626, 77499.568659, 77603.078536, 81248.299235, 0.000764, , [106 77], [72 192], [138 102], [54 172]
 1, 11, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109870.425305, 58713.368160, 77685.059798, 77603.078536, 80967.982950, 0.001075, 0.463462, [92 22], [149 170], [31 167], [54 172]
 1, 11, Novel, 17.416383, 20.912072, 82.893063, 20.634956, 35.464119, 58053.030745, 77327.569522, 112039.883401, 77363.537192, 81196.005215, 0.000394, , [156 10], [54 98], [87 58], [187 11]
 1, 12, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109668.999395, 111899.151562, 58796.837768, 77603.078536, 89492.016815, 0.000994, 0.110043, [155 184], [188 46], [74 191], [54 172]
 1, 12, Novel, 82.893063, 82.893063, 82.893063, 22.715735, 67.848731, 76782.971983, 111763.907286, 77323.254061, 77451.831618, 85830.491237, 0.000797, , [97 148], [21 8], [173 183], [63 151]
 2, 1, Sample, 82.893063, 75.205533, 82.893063, 82.893063, 80.971181, 109855.920790, 77468.323252, 59116.530104, 111813.320872, 89563.523755, 0.000967, -0.036042, [83 68], [168 158], [24 80], [187 129]
 2, 1, Novel, 82.893063, 82.893063, 82.893063, 19.997127, 67.169079, 58261.805733, 58713.138598, 77807.754591, 77429.851014, 68053.137484, 0.001040, , [163 37], [14 179], [167 132], [195 152]
 2, 2, Sample, 82.893063, 75.205533, 82.893063, 82.893063, 80.971181, 76604.050333, 77468.323252, 77487.811346, 112044.956249, 85901.285295, 0.000966, 0.124221, [54 105], [168 158], [180 95], [108 39]
 2, 2, Novel, 15.302290, 82.893063, 82.893063, 20.222721, 50.327784, 58151.014842, 77440.161964, 58643.841607, 77233.735031, 67867.188361, 0.000752, , [12 179], [192 118], [125 167], [130 7]
 2, 3, Sample, 82.893063, 75.205533, 82.893063, 82.893063, 80.971181, 109894.183327, 77468.323252, 112263.541520, 77558.984982, 94296.258271, 0.000883, 0.196278, [141 43], [168 158], [155 166], [22 110]
 2, 3, Novel, 23.714346, 19.943163, 82.893063, 82.893063, 52.360909, 76582.249954, 77277.603074, 77790.440929, 112044.956249, 85923.812551, 0.000593, , [34 13], [126 93], [95 76], [108 39]
 2, 4, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58110.692229, 111700.995727, 59116.530104, 77607.600137, 76633.954549, 0.001160, 0.415546, [137 114], [4 151], [24 80], [175 63]
 2, 4, Novel, 21.516626, 29.978542, 22.891016, 82.893063, 39.319812, 76595.422830, 111712.991603, 77134.395484, 77522.791202, 85741.400280, 0.000479, , [44 74], [68 18], [139 112], [46 14]
 2, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109894.183327, 77360.241775, 59116.530104, 77607.600137, 80994.638836, 0.001074, 0.276958, [141 43], [153 32], [24 80], [175 63]
 2, 5, Novel, 82.893063, 82.893063, 20.385144, 20.222721, 51.598498, 76604.050333, 111820.971428, 58692.530446, 77233.735031, 81087.821809, 0.000608, , [54 105], [176 157], [10 180], [130 7]
 2, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76707.350280, 58713.138598, 111874.724980, 58799.253968, 76523.616956, 0.001161, 0.354124, [17 107], [14 179], [109 104], [138 11]
 2, 6, Novel, 19.962726, 82.893063, 22.891016, 14.359095, 35.026475, 76429.733897, 58704.334414, 77134.395484, 58691.507153, 67739.992737, 0.000554, , [152 102], [140 42], [139 112], [120 159]
 2, 7, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76702.543722, 58704.334414, 77790.440929, 77522.791202, 72680.027567, 0.001157, 0.507136, [127 29], [140 42], [95 76], [46 14]
 2, 7, Novel, 82.893063, 15.193344, 27.974844, 19.198637, 36.314972, 109855.920790, 58578.936042, 111514.090056, 77246.927017, 89298.968476, 0.000378, , [83 68], [164 134], [64 43], [50 105]
 2, 8, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58261.805733, 77417.048607, 77487.811346, 77549.137002, 72678.950672, 0.001158, 0.484612, [163 37], [24 32], [180 95], [150 165]
 2, 8, Novel, 19.962726, 82.893063, 20.385144, 19.997127, 35.809515, 76429.733897, 111820.971428, 58692.530446, 77429.851014, 81093.271696, 0.000402, , [152 102], [176 157], [10 180], [195 152]
 2, 9, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109891.103041, 111820.971428, 111874.724980, 58761.793158, 98087.148151, 0.000912, -0.022570, [173 144], [176 157], [109 104], [189 68]
 2, 9, Novel, 82.893063, 19.946704, 82.893063, 82.893063, 67.156474, 76604.050333, 77250.027386, 77790.440929, 58799.253968, 72610.943154, 0.000954, , [54 105], [16 159], [95 76], [138 11]
 2, 10, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109891.103041, 77440.161964, 77807.754591, 77522.791202, 85665.452699, 0.000990, 0.135994, [173 144], [192 118], [167 132], [46 14]
 2, 10, Novel, 82.893063, 29.745357, 19.619400, 82.893063, 53.787721, 58261.805733, 111687.745491, 77430.703577, 77549.137002, 81232.347951, 0.000753, , [163 37], [143 152], [184 77], [150 165]
 2, 11, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109894.183327, 58704.334414, 77807.754591, 77549.137002, 80988.852334, 0.001075, 0.472101, [141 43], [140 42], [167 132], [150 165]
 2, 11, Novel, 15.503717, 21.564923, 82.893063, 19.997127, 34.989707, 58156.408437, 77298.268159, 112263.541520, 77429.851014, 81287.017283, 0.000386, , [17 13], [61 125], [155 166], [195 152]
 2, 12, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109891.103041, 111820.971428, 58643.841607, 77549.137002, 89476.263269, 0.000995, 0.117561, [173 144], [176 157], [125 167], [150 165]
 2, 12, Novel, 82.893063, 82.893063, 82.893063, 19.198637, 66.969457, 76702.543722, 111700.995727, 77487.811346, 77246.927017, 85784.569453, 0.000785, , [127 29], [4 151], [180 95], [50 105]
 3, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109491.489305, 77228.641223, 59032.823781, 111764.450678, 89379.351247, 0.000994, -0.024995, [42 107], [93 181], [1 79], [76 126]
 3, 1, Novel, 82.805074, 82.893063, 82.893063, 22.023772, 67.653743, 58279.117788, 58832.463375, 77747.468664, 77503.244084, 68090.573478, 0.001045, , [131 116], [169 8], [72 20], [96 176]
 3, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76651.777123, 77228.641223, 77319.757611, 112052.376679, 85813.138159, 0.000992, 0.135923, [162 58], [93 181], [191 23], [171 165]
 3, 2, Novel, 17.111155, 82.893063, 82.893063, 18.614437, 50.377930, 57863.727175, 77510.208471, 58746.581501, 77189.731045, 67827.562048, 0.000754, , [193 21], [139 112], [142 133], [150 119]
 3, 3, Sample, 82.893063, 82.893063, 58.410080, 82.893063, 76.772318, 109901.279777, 77228.641223, 112054.983103, 77703.255075, 94222.039794, 0.000854, 0.197723, [116 93], [93 181], [126 128], [161 13]
 3, 3, Novel, 18.527705, 18.354953, 82.893063, 82.893063, 50.667196, 76295.115577, 77239.981635, 77638.848582, 112052.376679, 85806.580618, 0.000572, , [175 2], [166 69], [132 15], [171 165]
 3, 4, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58358.256906, 111689.888890, 59032.823781, 77650.269708, 76682.809821, 0.001159, 0.431214, [63 97], [180 112], [1 79], [61 139]
 3, 4, Novel, 18.612981, 29.260366, 20.493631, 82.893063, 37.815010, 76235.270140, 111430.893063, 77280.035135, 77483.929171, 85607.531877, 0.000460, , [166 6], [115 166], [127 11], [181 110]
 3, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109901.279777, 77227.445385, 59032.823781, 77650.269708, 80952.954663, 0.001075, 0.293436, [116 93], [31 52], [1 79], [61 139]
 3, 5, Novel, 82.893063, 82.893063, 16.725518, 18.614437, 50.281521, 76651.777123, 111972.802526, 58540.320814, 77189.731045, 81088.657877, 0.000587, , [162 58], [188 17], [25 142], [150 119]
 3, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76448.181518, 58832.463375, 111991.819390, 58930.795467, 76550.814937, 0.001160, 0.354005, [86 190], [169 8], [130 131], [110 55]
 3, 6, Novel, 20.879802, 82.893063, 20.493631, 15.561203, 34.956925, 76660.541270, 58751.032329, 77280.035135, 58656.711640, 67837.080093, 0.000553, , [174 56], [189 70], [127 11], [148 167]
