
Perirhinal Layer, 24-D input stimuli
Experiment:, list18, 
Stim Condition:, 1, 
 Stimulus Set 1:
Sample 1, [ 0.333 0.050, 0.050 0.667, 0.050 0.333, 0.950 0.950 ],Novel 1, [ 0.333 0.333, 0.950 0.333, 0.667 0.950, 0.050 0.050 ] Sample 2, [ 0.050 0.667, 0.667 0.333, 0.333 0.050, 0.050 0.333 ],Novel 2, [ 0.950 0.333, 0.950 0.667, 0.333 0.667, 0.333 0.333 ] Sample 3, [ 0.950 0.050, 0.667 0.050, 0.050 0.050, 0.050 0.667 ],Novel 3, [ 0.333 0.050, 0.667 0.950, 0.050 0.950, 0.050 0.333 ] Sample 4, [ 0.050 0.333, 0.333 0.333, 0.667 0.050, 0.950 0.333 ],Novel 4, [ 0.333 0.667, 0.333 0.050, 0.333 0.950, 0.050 0.667 ] Sample 5, [ 0.333 0.333, 0.950 0.333, 0.333 0.050, 0.050 0.950 ],Novel 5, [ 0.667 0.050, 0.950 0.667, 0.333 0.950, 0.050 0.333 ] Sample 6, [ 0.050 0.950, 0.333 0.950, 0.050 0.667, 0.667 0.333 ],Novel 6, [ 0.333 0.050, 0.050 0.333, 0.950 0.667, 0.667 0.050 ] Sample 7, [ 0.050 0.050, 0.950 0.050, 0.667 0.050, 0.050 0.333 ],Novel 7, [ 0.667 0.950, 0.333 0.050, 0.333 0.667, 0.950 0.667 ] Sample 8, [ 0.050 0.950, 0.333 0.050, 0.667 0.050, 0.667 0.667 ],Novel 8, [ 0.050 0.333, 0.667 0.333, 0.950 0.050, 0.050 0.667 ] Sample 9, [ 0.667 0.950, 0.950 0.333, 0.333 0.333, 0.050 0.667 ],Novel 9, [ 0.050 0.333, 0.667 0.333, 0.950 0.667, 0.050 0.050 ] Sample 10, [ 0.333 0.950, 0.050 0.950, 0.050 0.333, 0.667 0.950 ],Novel 10, [ 0.950 0.050, 0.333 0.050, 0.050 0.667, 0.050 0.050 ] Sample 11, [ 0.333 0.950, 0.050 0.950, 0.050 0.333, 0.667 0.950 ],Novel 11, [ 0.950 0.050, 0.333 0.050, 0.050 0.667, 0.050 0.050 ] Sample 12, [ 0.050 0.333, 0.667 0.333, 0.333 0.950, 0.667 0.050 ],Novel 12, [ 0.667 0.950, 0.950 0.667, 0.050 0.050, 0.050 0.950 ] Sample 13, [ 0.050 0.667, 0.950 0.667, 0.333 0.333, 0.333 0.950 ],Novel 13, [ 0.333 0.667, 0.667 0.667, 0.950 0.950, 0.050 0.950 ] Sample 14, [ 0.950 0.667, 0.667 0.050, 0.950 0.950, 0.333 0.050 ],Novel 14, [ 0.050 0.950, 0.667 0.950, 0.050 0.667, 0.950 0.050 ] Sample 15, [ 0.667 0.050, 0.050 0.333, 0.950 0.950, 0.667 0.333 ],Novel 15, [ 0.333 0.333, 0.050 0.950, 0.333 0.950, 0.950 0.667 ] Sample 16, [ 0.667 0.050, 0.050 0.333, 0.950 0.333, 0.050 0.950 ],Novel 16, [ 0.333 0.950, 0.050 0.050, 0.667 0.950, 0.950 0.050 ] Sample 17, [ 0.050 0.950, 0.333 0.667, 0.333 0.333, 0.950 0.050 ],Novel 17, [ 0.950 0.950, 0.667 0.050, 0.333 0.050, 0.667 0.333 ] Sample 18, [ 0.050 0.333, 0.050 0.667, 0.050 0.950, 0.050 0.050 ],Novel 18, [ 0.667 0.050, 0.333 0.333, 0.333 0.950, 0.667 0.667 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 2, 5, Novel, 18.454142, 73680.888067, 0.000250,, [168 119]
 2, 6, Sample, 46.516559, 73794.365915, 0.000630, 0.282474, [47 13]
 2, 6, Novel, 26.051676, 73869.039599, 0.000353,, [145 66]
 2, 7, Sample, 82.893063, 64194.908966, 0.001291, 0.697077, [57 7]
 2, 7, Novel, 18.358451, 79650.466127, 0.000230,, [115 82]
 2, 8, Sample, 82.893063, 73907.607833, 0.001122, 0.517978, [16 34]
 2, 8, Novel, 26.276942, 73780.954670, 0.000356,, [59 6]
 2, 9, Sample, 82.893063, 79708.979810, 0.001040, 0.611440, [173 33]
 2, 9, Novel, 18.495354, 73757.715929, 0.000251,, [100 88]
 2, 10, Sample, 82.893063, 68809.189780, 0.001205, 0.642228, [119 93]
 2, 10, Novel, 16.832603, 64136.766647, 0.000262,, [91 113]
 2, 11, Sample, 82.893063, 68809.189780, 0.001205, 0.642228, [119 93]
 2, 11, Novel, 16.832603, 64136.766647, 0.000262,, [91 113]
 2, 12, Sample, 82.893063, 79755.611113, 0.001039, 0.406212, [136 150]
 2, 12, Novel, 28.090171, 64005.425976, 0.000439,, [173 33]
 2, 13, Sample, 82.893063, 79684.084520, 0.001040, 0.633631, [2 62]
 2, 13, Novel, 17.183910, 73656.536494, 0.000233,, [67 61]
 2, 14, Sample, 82.893063, 68724.887507, 0.001206, 0.432397, [88 114]
 2, 14, Novel, 30.590819, 64003.740296, 0.000478,, [47 12]
 2, 15, Sample, 82.893063, 73972.272279, 0.001121, 0.604908, [145 69]
 2, 15, Novel, 20.354998, 73785.957934, 0.000276,, [196 129]
 2, 16, Sample, 82.893063, 68812.235311, 0.001205, 0.675375, [117 29]
 2, 16, Novel, 14.960965, 64096.913283, 0.000233,, [115 191]
 2, 17, Sample, 82.893063, 73882.543645, 0.001122, 0.633797, [45 10]
 2, 17, Novel, 18.541259, 73729.138247, 0.000251,, [10 116]
 2, 18, Sample, 82.893063, 64224.188447, 0.001291, 0.687547, [31 145]
 2, 18, Novel, 20.704422, 86639.412917, 0.000239,, [146 87]
 3, 1, Sample, 82.893063, 68691.088646, 0.001207, 0.646949, [42 163]
 3, 1, Novel, 19.087759, 73787.043651, 0.000259,, [67 22]
 3, 2, Sample, 82.893063, 79811.637586, 0.001039, 0.631672, [124 124]
 3, 2, Novel, 20.289276, 86539.170718, 0.000234,, [161 88]
 3, 3, Sample, 75.014928, 64127.428716, 0.001170, 0.648700, [71 10]
 3, 3, Novel, 17.094383, 68582.349181, 0.000249,, [91 67]
 3, 4, Sample, 82.893063, 79825.913582, 0.001038, 0.615697, [44 126]
 3, 4, Novel, 19.642539, 79526.186751, 0.000247,, [121 111]
 3, 5, Sample, 38.809504, 73784.703166, 0.000526, 0.378278, [43 67]
 3, 5, Novel, 17.493443, 73729.926615, 0.000237,, [95 170]
 3, 6, Sample, 43.563106, 73811.731635, 0.000590, 0.257858, [1 22]
 3, 6, Novel, 25.683435, 73757.124864, 0.000348,, [11 191]
 3, 7, Sample, 82.893063, 64227.780735, 0.001291, 0.683787, [93 17]
 3, 7, Novel, 19.283409, 79560.277060, 0.000242,, [90 23]
 3, 8, Sample, 82.893063, 73851.516373, 0.001122, 0.542643, [71 2]
 3, 8, Novel, 24.545331, 73759.823158, 0.000333,, [93 14]
 3, 9, Sample, 67.253132, 79692.129527, 0.000844, 0.557788, [39 69]
 3, 9, Novel, 17.672844, 73771.210495, 0.000240,, [131 67]
