
 1, Sample, 77.795772, 79.059376, 78.071818, 80.390340, 78.829326, 76528.197645, 77260.867724, 77478.234688, 77374.725389, 77160.506361, 0.001022, 0.324194, [183 118], [144 95], [179 103], [152 117]
 1, Novel, 18.771939, 21.779754, 76.215696, 15.085177, 32.963141, 76456.666786, 77175.101040, 58616.935160, 58565.947844, 67703.662708, 0.000521, , [28 49], [24 150], [199 127], [121 142]
 2, Sample, 77.213177, 82.893063, 76.215696, 81.829094, 79.537758, 76534.291479, 58569.607502, 58616.935160, 112104.968386, 76456.450632, 0.001114, 0.180842, [66 157], [163 167], [199 127], [167 160]
 2, Novel, 42.679151, 20.863130, 75.181903, 76.034687, 53.689718, 76538.685049, 77267.672705, 58661.634959, 77527.110097, 72498.775702, 0.000772, , [196 101], [151 60], [115 71], [91 84]
 3, Sample, 42.679151, 75.096102, 75.181903, 78.518885, 67.869010, 76538.685049, 58545.480655, 58661.634959, 77467.586992, 67803.346914, 0.001034, 0.387525, [196 101], [142 167], [115 71], [5 17]
 3, Novel, 19.858945, 30.200458, 78.071818, 22.264225, 37.598861, 76532.625270, 111663.783909, 77478.234688, 77341.229533, 85753.968350, 0.000456, , [82 159], [163 56], [179 103], [79 113]
 4, Sample, 80.466494, 79.790688, 75.522452, 76.034687, 77.953580, 109700.691259, 77435.332318, 58761.733172, 77527.110097, 80856.216711, 0.001007, 0.595502, [90 169], [33 81], [189 22], [91 84]
 4, Novel, 15.463104, 28.413222, 27.156785, 15.085177, 21.529572, 58071.443960, 111471.915181, 111786.553181, 58565.947844, 84973.965041, 0.000255, , [134 179], [13 170], [112 31], [121 142]
 5, Sample, 77.390264, 77.998656, 77.110837, 80.613918, 78.278419, 76567.714027, 77431.105228, 77525.435197, 111963.690418, 85871.986217, 0.000933, 0.180833, [5 127], [198 21], [199 139], [9 113]
 5, Novel, 77.795772, 31.389683, 19.492775, 80.390340, 52.267142, 76528.197645, 111440.869813, 77273.092972, 77374.725389, 85654.221455, 0.000647, , [183 118], [11 3], [150 118], [152 117]
 6, Sample, 80.995224, 82.893063, 78.626450, 78.203947, 80.179671, 109727.584567, 58569.607502, 77477.669696, 58682.642806, 76114.376143, 0.001125, 0.249009, [193 103], [163 167], [13 45], [199 126]
 6, Novel, 15.632703, 26.296906, 78.071818, 76.034687, 49.009029, 58103.646599, 58592.755603, 77478.234688, 77527.110097, 67925.436747, 0.000677, , [42 107], [35 80], [179 103], [91 84]
 1, Sample, 77.795772, 79.059376, 78.071818, 80.390340, 78.829326, 76528.197645, 77260.867724, 77478.234688, 77374.725389, 77160.506361, 0.001022, 0.324194, [183 118], [144 95], [179 103], [152 117]
 1, Novel, 18.771939, 21.779754, 76.215696, 15.085177, 32.963141, 76456.666786, 77175.101040, 58616.935160, 58565.947844, 67703.662708, 0.000521, , [28 49], [24 150], [199 127], [121 142]
 2, Sample, 77.213177, 82.893063, 76.215696, 81.829094, 79.537758, 76534.291479, 58569.607502, 58616.935160, 112104.968386, 76456.450632, 0.001114, 0.180842, [66 157], [163 167], [199 127], [167 160]
 2, Novel, 42.679151, 20.863130, 75.181903, 76.034687, 53.689718, 76538.685049, 77267.672705, 58661.634959, 77527.110097, 72498.775702, 0.000772, , [196 101], [151 60], [115 71], [91 84]
 3, Sample, 42.679151, 75.096102, 75.181903, 78.518885, 67.869010, 76538.685049, 58545.480655, 58661.634959, 77467.586992, 67803.346914, 0.001034, 0.387525, [196 101], [142 167], [115 71], [5 17]
 3, Novel, 19.858945, 30.200458, 78.071818, 22.264225, 37.598861, 76532.625270, 111663.783909, 77478.234688, 77341.229533, 85753.968350, 0.000456, , [82 159], [163 56], [179 103], [79 113]
 4, Sample, 80.466494, 79.790688, 75.522452, 76.034687, 77.953580, 109700.691259, 77435.332318, 58761.733172, 77527.110097, 80856.216711, 0.001007, 0.595502, [90 169], [33 81], [189 22], [91 84]
 4, Novel, 15.463104, 28.413222, 27.156785, 15.085177, 21.529572, 58071.443960, 111471.915181, 111786.553181, 58565.947844, 84973.965041, 0.000255, , [134 179], [13 170], [112 31], [121 142]
 5, Sample, 77.390264, 77.998656, 77.110837, 80.613918, 78.278419, 76567.714027, 77431.105228, 77525.435197, 111963.690418, 85871.986217, 0.000933, 0.180833, [5 127], [198 21], [199 139], [9 113]
 5, Novel, 77.795772, 31.389683, 19.492775, 80.390340, 52.267142, 76528.197645, 111440.869813, 77273.092972, 77374.725389, 85654.221455, 0.000647, , [183 118], [11 3], [150 118], [152 117]
 6, Sample, 80.995224, 82.893063, 78.626450, 78.203947, 80.179671, 109727.584567, 58569.607502, 77477.669696, 58682.642806, 76114.376143, 0.001125, 0.249009, [193 103], [163 167], [13 45], [199 126]
 6, Novel, 15.632703, 26.296906, 78.071818, 76.034687, 49.009029, 58103.646599, 58592.755603, 77478.234688, 77527.110097, 67925.436747, 0.000677, , [42 107], [35 80], [179 103], [91 84]
