
Caudal Layer, 6-D input stimuli
Experiment:, list12,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 3, 
 Stimulus Set 1:
Sample 1, [ 0.950  0.050, 0.050  0.333, 0.050  0.667, 0.333  0.050 ],Novel 1, [ 0.667  0.050, 0.667  0.667, 0.333  0.333, 0.950  0.667 ] Sample 2, [ 0.050  0.950, 0.950  0.333, 0.667  0.333, 0.050  0.050 ],Novel 2, [ 0.050  0.667, 0.950  0.667, 0.667  0.950, 0.050  0.333 ] Sample 3, [ 0.667  0.050, 0.667  0.950, 0.333  0.667, 0.950  0.050 ],Novel 3, [ 0.050  0.333, 0.333  0.333, 0.333  0.950, 0.667  0.333 ] Sample 4, [ 0.050  0.950, 0.050  0.333, 0.333  0.667, 0.050  0.050 ],Novel 4, [ 0.950  0.950, 0.667  0.950, 0.050  0.667, 0.667  0.333 ] Sample 5, [ 0.333  0.050, 0.950  0.667, 0.333  0.333, 0.050  0.667 ],Novel 5, [ 0.950  0.950, 0.050  0.950, 0.950  0.050, 0.667  0.050 ] Sample 6, [ 0.950  0.950, 0.667  0.333, 0.667  0.667, 0.333  0.333 ],Novel 6, [ 0.050  0.333, 0.333  0.950, 0.333  0.667, 0.050  0.667 ] Sample 7, [ 0.050  0.667, 0.950  0.950, 0.333  0.950, 0.050  0.333 ],Novel 7, [ 0.050  0.950, 0.667  0.667, 0.950  0.050, 0.667  0.950 ] Sample 8, [ 0.050  0.050, 0.333  0.667, 0.950  0.950, 0.667  0.950 ],Novel 8, [ 0.050  0.667, 0.050  0.950, 0.050  0.333, 0.333  0.050 ] Sample 9, [ 0.050  0.950, 0.050  0.333, 0.333  0.950, 0.333  0.667 ],Novel 9, [ 0.950  0.050, 0.333  0.333, 0.950  0.333, 0.667  0.950 ] Sample 10, [ 0.333  0.667, 0.050  0.050, 0.333  0.333, 0.050  0.950 ],Novel 10, [ 0.950  0.333, 0.050  0.667, 0.950  0.050, 0.950  0.950 ] Sample 11, [ 0.333  0.050, 0.950  0.333, 0.950  0.667, 0.333  0.333 ],Novel 11, [ 0.950  0.050, 0.333  0.950, 0.667  0.950, 0.667  0.050 ] Sample 12, [ 0.950  0.667, 0.667  0.050, 0.333  0.050, 0.050  0.950 ],Novel 12, [ 0.950  0.333, 0.050  0.050, 0.667  0.950, 0.050  0.333 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58230.550383, 77482.160434, 77435.911094, 77575.100243, 72680.930539, 0.001158, 0.310970, [106 77], [40 120], [145 108], [173 183]
 1, 1, Novel, 82.893063, 34.856857, 82.893063, 23.274079, 55.979266, 76732.707246, 111650.515791, 111873.010732, 77247.812476, 94376.011561, 0.000609, , [97 148], [72 192], [188 162], [54 172]
 1, 2, Sample, 78.949908, 82.893063, 82.893063, 82.893063, 81.907275, 58172.916183, 77463.012062, 111995.069144, 58920.923934, 76637.980331, 0.001144, 0.136781, [155 11], [10 151], [12 200], [178 136]
 1, 2, Novel, 82.893063, 82.893063, 19.562749, 82.893063, 67.060485, 76547.663878, 77432.267794, 77489.730029, 77643.825046, 77278.371687, 0.000868, , [197 107], [70 190], [138 102], [187 11]
 1, 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76732.707246, 77401.314583, 112070.673372, 58715.137166, 81229.958092, 0.001076, 0.392104, [97 148], [159 102], [87 58], [196 16]
 1, 3, Novel, 20.112391, 31.498020, 82.893063, 29.755428, 41.064725, 76573.891896, 111719.550153, 77592.262242, 111880.883015, 94441.646827, 0.000470, , [153 142], [188 46], [31 167], [135 98]
 1, 4, Sample, 78.949908, 82.893063, 82.893063, 82.893063, 81.907275, 58172.916183, 77482.160434, 112070.673372, 58920.923934, 76661.668481, 0.001143, 0.087611, [155 11], [40 120], [87 58], [178 136]
 1, 4, Novel, 82.893063, 82.893063, 82.893063, 29.755428, 69.608655, 57995.832332, 77401.314583, 77435.911094, 111880.883015, 81178.485256, 0.000959, , [151 67], [159 102], [145 108], [135 98]
 1, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76856.544769, 77432.267794, 111873.010732, 77560.728015, 85930.637828, 0.000990, 0.280542, [162 102], [70 190], [188 162], [121 90]
 1, 5, Novel, 82.893063, 16.036017, 15.168167, 20.288493, 33.596435, 57995.832332, 58542.436242, 58593.824207, 77405.145217, 63134.309500, 0.000556, , [151 67], [142 186], [58 165], [36 29]
 1, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 57995.832332, 111814.754895, 112145.518647, 112151.576614, 98526.920622, 0.000912, 0.221557, [151 67], [21 8], [26 105], [182 170]
 1, 6, Novel, 20.112391, 19.642474, 82.893063, 82.893063, 51.385248, 76573.891896, 77263.106610, 112070.673372, 77560.728015, 85867.099973, 0.000581, , [153 142], [148 99], [87 58], [121 90]
 1, 7, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76547.663878, 58723.289110, 77592.262242, 77643.825046, 72626.760069, 0.001158, 0.213644, [197 107], [44 11], [31 167], [187 11]
 1, 7, Novel, 78.949908, 34.856857, 15.168167, 82.893063, 52.966999, 58172.916183, 111650.515791, 58593.824207, 77329.255426, 76436.627902, 0.000750, , [155 11], [72 192], [58 165], [113 142]
 1, 8, Sample, 82.893063, 82.893063, 72.974012, 82.893063, 80.413301, 58357.925709, 111787.102283, 58820.711913, 77329.255426, 76573.748833, 0.001119, 0.247729, [137 41], [58 94], [74 190], [113 142]
 1, 8, Novel, 82.893063, 16.036017, 21.035085, 82.893063, 50.714307, 76547.663878, 58542.436242, 77228.742029, 77575.100243, 72473.485598, 0.000674, , [197 107], [142 186], [89 144], [173 183]
 1, 9, Sample, 78.949908, 82.893063, 82.893063, 82.893063, 81.907275, 58172.916183, 77482.160434, 77592.262242, 111934.811256, 81295.537529, 0.001059, 0.154657, [155 11], [40 120], [31 167], [27 27]
 1, 9, Novel, 82.893063, 31.498020, 25.052619, 82.893063, 55.584191, 58230.550383, 111719.550153, 77389.276865, 77329.255426, 81167.158207, 0.000775, , [106 77], [188 46], [74 36], [113 142]
 1, 10, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109478.460435, 58702.819657, 111873.010732, 58808.482435, 84715.693314, 0.001080, 0.538783, [157 5], [106 115], [188 162], [86 26]
 1, 10, Novel, 29.944506, 20.947669, 15.168167, 21.818057, 21.969600, 76409.161578, 77288.944754, 58593.824207, 58500.800784, 67698.182831, 0.000324, , [103 78], [54 98], [58 165], [74 195]
 1, 11, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76856.544769, 77463.012062, 77600.391647, 112151.576614, 86017.881273, 0.000989, 0.286850, [162 102], [10 151], [73 196], [182 170]
 1, 11, Novel, 82.893063, 19.642474, 19.562749, 20.288493, 35.596695, 58230.550383, 77263.106610, 77489.730029, 77405.145217, 72597.133060, 0.000548, , [106 77], [148 99], [138 102], [36 29]
 1, 12, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76378.219923, 77404.561870, 77356.410300, 58808.482435, 72486.918632, 0.001159, 0.194976, [57 119], [170 194], [173 183], [86 26]
 1, 12, Novel, 29.944506, 82.893063, 19.562749, 82.893063, 53.823345, 76409.161578, 58702.819657, 77489.730029, 77643.825046, 72561.384078, 0.000781, , [103 78], [106 115], [138 102], [187 11]
 2, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58205.650573, 77464.074741, 77697.108670, 77562.377882, 72732.302967, 0.001157, 0.324227, [163 37], [192 118], [95 76], [46 14]
 2, 1, Novel, 82.893063, 29.745357, 82.893063, 21.320728, 54.213053, 76650.716700, 111732.613978, 112202.287723, 77184.827406, 94442.611452, 0.000591, , [127 29], [143 152], [28 6], [150 165]
 2, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58316.095245, 77489.346971, 111769.412595, 58948.871102, 76630.931478, 0.001160, 0.144038, [17 13], [126 93], [64 43], [189 68]
 2, 2, Novel, 82.893063, 82.893063, 19.619400, 82.893063, 67.074647, 76703.994921, 77467.333087, 77425.741275, 77706.151003, 77325.805071, 0.000868, , [17 107], [153 32], [184 77], [195 152]
 2, 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76650.716700, 77451.818831, 112264.951928, 58543.479144, 81227.741651, 0.001076, 0.384102, [127 29], [170 158], [155 166], [87 155]
 2, 3, Novel, 21.516626, 32.955646, 82.893063, 30.506103, 41.967859, 76623.945990, 111632.616242, 77701.631057, 111645.489872, 94400.920790, 0.000479, , [44 74], [176 157], [167 132], [187 129]
 2, 4, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58316.095245, 77464.074741, 112264.951928, 58948.871102, 76748.498254, 0.001159, 0.094210, [17 13], [192 118], [155 166], [189 68]
 2, 4, Novel, 82.893063, 82.893063, 82.893063, 30.506103, 69.796323, 58072.951160, 77451.818831, 77697.108670, 111645.489872, 81216.842133, 0.000959, , [137 114], [170 158], [95 76], [187 129]
 2, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76768.832427, 77467.333087, 112202.287723, 77673.441539, 86027.973694, 0.000989, 0.284440, [34 13], [153 32], [28 6], [9 62]
 2, 5, Novel, 82.893063, 15.193344, 14.889438, 20.222718, 33.299641, 58072.951160, 58514.128698, 58407.070602, 77245.782362, 63059.983205, 0.000551, , [137 114], [164 134], [188 37], [130 7]
 2, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58072.951160, 111765.836919, 111904.330595, 112200.173564, 98485.823059, 0.000912, 0.218132, [137 114], [4 151], [109 104], [108 39]
 2, 6, Novel, 21.516626, 19.741316, 82.893063, 82.893063, 51.761017, 76623.945990, 77262.388527, 112264.951928, 77673.441539, 85956.181996, 0.000585, , [44 74], [24 32], [155 166], [9 62]
 2, 7, Sample, 82.893063, 82.787682, 82.893063, 82.893063, 82.866718, 76703.994921, 58764.737401, 77701.631057, 77706.151003, 72719.128596, 0.001156, 0.210772, [17 107], [126 167], [167 132], [195 152]
 2, 7, Novel, 82.893063, 29.745357, 14.889438, 82.893063, 52.605230, 58316.095245, 111732.613978, 58407.070602, 77405.502172, 76465.320499, 0.000753, , [17 13], [143 152], [188 37], [175 63]
 2, 8, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58318.272657, 111728.334901, 58695.170310, 77405.502172, 76536.820010, 0.001162, 0.271656, [12 179], [68 18], [125 167], [175 63]
 2, 8, Novel, 82.893063, 15.193344, 19.561077, 82.893063, 50.135137, 76703.994921, 58514.128698, 77560.636405, 77562.377882, 72585.284477, 0.000665, , [17 107], [164 134], [30 105], [46 14]
 2, 9, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58316.095245, 77464.074741, 77701.631057, 112069.068216, 81387.717315, 0.001075, 0.162504, [17 13], [192 118], [167 132], [164 18]
 2, 9, Novel, 82.893063, 32.955646, 23.600751, 82.893063, 55.585631, 58205.650573, 111632.616242, 77093.564233, 77405.502172, 81084.333305, 0.000774, , [163 37], [176 157], [33 111], [175 63]
 2, 10, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109697.282002, 58692.705594, 112202.287723, 58915.058823, 84876.833536, 0.001078, 0.607306, [173 144], [14 179], [28 6], [138 11]
 2, 10, Novel, 20.975208, 21.564923, 14.889438, 14.359095, 17.947166, 76440.868337, 77241.846083, 58407.070602, 58508.995080, 67649.695025, 0.000263, , [146 144], [61 125], [188 37], [120 159]
 2, 11, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76768.832427, 77489.346971, 77333.551710, 112200.173564, 85947.976168, 0.000990, 0.286814, [34 13], [126 93], [139 112], [108 39]
 2, 11, Novel, 82.893063, 19.741316, 19.619400, 20.222718, 35.619124, 58205.650573, 77262.388527, 77425.741275, 77245.782362, 72534.890684, 0.000549, , [163 37], [24 32], [184 77], [130 7]
 2, 12, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76449.411147, 77356.647006, 77520.242325, 58915.058823, 72560.339825, 0.001158, 0.212761, [70 172], [16 159], [180 95], [138 11]
 2, 12, Novel, 20.975208, 82.893063, 19.619400, 82.893063, 51.595184, 76440.868337, 58692.705594, 77425.741275, 77706.151003, 72566.366552, 0.000752, , [146 144], [14 179], [184 77], [195 152]
 3, 1, Sample, 82.805074, 82.893063, 82.893063, 82.893063, 82.871066, 58225.675070, 77532.595925, 77546.473036, 77527.102566, 72707.961649, 0.001157, 0.319535, [131 116], [139 112], [132 15], [181 110]
 3, 1, Novel, 82.893063, 29.053605, 82.893063, 23.361926, 54.550415, 76551.286114, 111421.961634, 111921.914277, 77075.993014, 94242.788760, 0.000597, , [155 121], [85 13], [194 15], [165 161]
 3, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58228.013218, 77445.321274, 111677.233528, 58956.652970, 76576.805248, 0.001161, 0.138905, [100 84], [166 69], [104 55], [45 168]
 3, 2, Novel, 82.893063, 82.893063, 22.304264, 82.893063, 67.745864, 76448.193307, 77328.676731, 77502.014398, 77776.406142, 77263.822644, 0.000877, , [86 190], [31 52], [79 83], [96 176]
 3, 3, Sample, 82.893063, 82.893063, 71.822913, 82.893063, 80.125526, 76551.286114, 77177.229407, 112071.157367, 58501.384102, 81075.264248, 0.001054, 0.392129, [155 121], [93 181], [126 128], [41 185]
 3, 3, Novel, 18.612981, 30.651766, 82.893063, 28.415705, 40.143379, 76273.458606, 111773.886548, 77652.675539, 111606.609377, 94326.657517, 0.000460, , [166 6], [188 17], [72 20], [76 126]
 3, 4, Sample, 82.893063, 82.893063, 71.822913, 82.893063, 80.125526, 58228.013218, 77532.595925, 112071.157367, 58956.652970, 76697.104870, 0.001135, 0.086182, [100 84], [139 112], [126 128], [45 168]
